Profesión,A_t (Automatización),R_h (Habilidades Humanas),C_i (Integración con IA),ISIA (5 años),Categoría de Impacto,Prof. equivalentes (Núcleo),Prof. equivalentes (Complementarias),SIES/CNED Núcleo,CINE-F Núcleo,SIES/CNED Complementarias,CINE-F Complementarias,Explicación de Valores
Administración de Recursos Humanos,5,7,8,0.9,Transformación híbrida / Co-piloto,"Gestión del Talento;Relaciones Laborales","Psicología;Administración",,,,"Reclutamiento automatizable; coaching y decisiones sensibles requieren humanos."
Arquitectura,5,6,8,0.7,Transformación híbrida / Co-piloto,"Diseño Arquitectónico;Urbanismo","Ingeniería Civil;Diseño de Interiores",,,,"Modelado y generación asistida por IA; diseño contextual y responsabilidades profesionales humanas."
Diseño Gráfico,4,7,8,1.1,Transformación híbrida / Co-piloto,"Diseño Digital;Imagen","Publicidad;Arte",,,,"Generación de piezas asistida por IA; sensibilidad estética y briefing del cliente requieren humano."
Diseño Industrial,4,6,8,0.9,Transformación híbrida / Co-piloto,"Producto;Ergonomía","Ingeniería en Materiales;Diseño Gráfico",,,,"Prototipado y optimización automatizables; creatividad y usabilidad requieren humanos."
Diseño de Interiores,4,6,7,0.6,Transformación híbrida / Co-piloto,"Arquitectura;Diseño de Producto","Psicología Ambiental;Marketing",,,,"Visualización y propuestas asistidas; intervención en sitio y coordinación humana."
Arte,3,8,6,0.5,Transformación híbrida / Co-piloto,"Artes Visuales;Performance","Diseño;Comunicación",,,,"Creación artística parcialmente asistida por IA; intencionalidad y contexto humanos dominan."
Cine,4,7,7,0.8,Transformación híbrida / Co-piloto,"Dirección Cinematográfica;Producción","Comunicación Audiovisual;Publicidad",,,,"Edición y efectos automatizables; dirección creativa y narrativa requieren humanos."
Teatro,3,9,5,-0.2,Transformación híbrida / Co-piloto,"Actuación;Dirección Teatral","Danza;Música",,,,"Interpretación en vivo y relación con público humana; IA solo como herramienta técnica."
Música,3,8,7,0.0,Transformación híbrida / Co-piloto,"Interpretación Musical;Composición","Pedagogía;Producción Musical",,,,"Composición asistida por IA; interpretación y creatividad en vivo son humanas."
Publicidad,5,6,8,1.3,Alta reconversión / Riesgo moderado,"Marketing;Comunicación","Diseño Gráfico;Psicología",,,,"Segmentación y copy automatizables; estrategia y grandes campañas requieren humanos."
Comunicación Audiovisual,5,6,7,0.9,Transformación híbrida / Co-piloto,"Producción;Edición","Periodismo;Publicidad",,,,"Generación de contenido asistida por IA; narrativa y ética humana importantes."
Diseño de Vestuario,3,7,6,0.2,Transformación híbrida / Co-piloto,"Diseño de Moda;Patronaje","Textil;Diseño Industrial",,,,"Diseño asistido; ejecución y ajuste al cuerpo siguen demandas humanas."
Fotografía,4,6,7,0.8,Transformación híbrida / Co-piloto,"Fotografía Comercial;Editorial","Diseño Gráfico;Comunicación",,,,"Postproducción automatizable; ojo creativo, dirección y encuadre requieren humano."
Danza,2,9,5,-0.5,Oportunidad controlada / Acelerador,"Coreografía;Interpretación","Música;Teatro",,,,"Expresión corporal y presencialidad humana; IA como apoyo en coreografía y análisis."
Biología,4,6,7,-0.2,Transformación híbrida / Co-piloto,"Investigación Biológica;Ecología","Bioquímica;Biotecnología",,,,"Laboratorio y análisis automatizables; interpretación y diseño experimental requieren humanos."
Química,5,5,7,0.3,Transformación híbrida / Co-piloto,"Química Analítica;Industrial","Farmacia;Ingeniería Química",,,,"Análisis y procesos automatizables; seguridad y juicio humanos siguen esenciales."
Física,4,6,7,0.0,Transformación híbrida / Co-piloto,"Investigación Física;Física Aplicada","Matemáticas;Ingeniería",,,,"Modelado y simulación asistidos; interpretación teórica y experimentación requieren humanos."
Matemáticas,4,6,7,0.1,Transformación híbrida / Co-piloto,"Matemáticas Puras;Aplicadas","Estadística;Actuaría",,,,"Cálculo y pruebas asistidas por software; creatividad matemática y demostraciones humanas."
Estadística,6,5,9,1.0,Alta reconversión / Riesgo moderado,"Data Science;Econometría","Matemáticas;Actuaría",,,,"Procesamiento y modelado automatizable; diseño de modelos y comunicación requieren humanos."
Agronomía,4,6,7,0.2,Transformación híbrida / Co-piloto,"Producción Agrícola;Fitotecnia","Ingeniería en Alimentos;Horticultura",,,,"Monitoreo y optimización apoyados por sensores e IA; trabajo de campo y adaptación requieren humanos."
Ingeniería Forestal,4,6,7,0.1,Transformación híbrida / Co-piloto,"Manejo Forestal;Conservación","Agronomía;Geografía",,,,"Monitoreo y modelado ambiental automatizables; manejo ecosistémico requiere juicio humano."
Geología,4,6,7,0.3,Transformación híbrida / Co-piloto,"Geofísica;Prospección","Ingeniería en Minas;Geografía",,,,"Análisis de datos sísmicos y modelado apoyado por IA; campo y toma de decisiones humanas."
Oceanografía,4,6,7,0.0,Transformación híbrida / Co-piloto,"Ciencias Marinas;Modelado Oceanográfico","Biología Marina;Geografía",,,,"Modelado y observación automatizables; interpretación y trabajo de campo humanos."
Ingeniería en Acuicultura,4,6,7,0.2,Transformación híbrida / Co-piloto,"Producción Acuícola;Hatchery","Biología Marina;Ingeniería en Alimentos",,,,"Monitoreo y control en criaderos automatizables; manejo sanitario y decisiones humanas."
Ingeniería Agrícola,4,6,7,0.3,Transformación híbrida / Co-piloto,"Mecánica Agrícola;Producción","Agronomía;Ingeniería Forestal",,,,"Automatización en procesos y maquinaria; gestión y adaptación en campo siguen humanas."
Horticultura,4,6,7,0.1,Transformación híbrida / Co-piloto,"Producción Vegetal;Floricultura","Agronomía;Ingeniería Agrícola",,,,"Monitoreo y optimización asistidos por sensores; trabajo práctico y experiencia humana esencial."
Vitivinicultura,4,6,7,0.0,Transformación híbrida / Co-piloto,"Enología;Producción de Vino","Agronomía;Ingeniería en Alimentos",,,,"Procesos y control automatizables; cata, estilo y decisiones de mezcla humanas."
Técnico en Enfermería,6,7,6,0.8,Transformación híbrida / Co-piloto,"Auxiliar de Enfermería;Cuidados","Enfermería;Técnico en Administración",,,,"Tareas técnicas y monitorización parcialmente automatizables; cuidado directo sigue humano."
Técnico en Administración,6,6,7,1.5,Alta reconversión / Riesgo moderado,"Asistente Administrativo;Secretariado","Contabilidad;RRHH",,,,"Tareas rutinarias administrativas automatizables; coordinación y funciones complejas requieren humanos."
Técnico en Contabilidad,6,6,8,1.8,Alta reconversión / Riesgo moderado,"Auxiliar Contable;Auditoría Básica","Contador Auditor;Finanzas",,,,"Registración y conciliaciones automatizables; análisis contable y cumplimiento requieren humanos."
Técnico en Programación,7,5,9,1.2,Alta reconversión / Riesgo moderado,"Desarrollo Web;Soporte","Ingeniería en Informática;DevOps",,,,"Tareas repetitivas y generación de código parcialmente automatizables; arquitectura y supervisión humana necesaria."
