"Profesión","A_t (Automatización)","R_h (Habilidades Humanas)","C_i (Integración)","ISIA (5 años)","Categoría de Impacto","Profesiones equivalentes (Núcleo)","Profesiones equivalentes (Complementarias)","SIES/CNED Núcleo","CINE-F Núcleo","SIES/CNED Complementarias","CINE-F Complementarias","Explicación de Valores"
"Química y Farmacia",6,6,8,0.5,"Transformación híbrida / Co-piloto","Bioquímica, Ingeniería Química, Tecnología Médica","Medicina, Derecho (patentes), Logística (fármacos)","N/A","N/A","N/A","N/A","A_t (6) es alta en análisis de interacciones y dispensación automatizada. R_h (6) es clave en la validación, consejo al paciente y farmacovigilancia. C_i (8) es alta. ISIA (0.5) es Híbrido; el rol de dispensar baja, el de consejo clínico sube."
"Bioquímica",7,5,9,0.0,"Transformación híbrida / Co-piloto","Química y Farmacia, Biología, Biotecnología","Medicina, Ingeniería en Informática (Bioinformática)","N/A","N/A","N/A","N/A","A_t (7) es alta en análisis de laboratorio y modelamiento molecular. R_h (5) es el pensamiento crítico para diseñar experimentos e interpretar resultados. C_i (9) es total. ISIA (0.0) es Híbrido; menos trabajo de mesón, más análisis de datos."
"Biología Marina",6,6,8,-1.5,"Oportunidad controlada / Acelerador","Biología, Oceanografía, Ingeniería en Acuicultura","Geografía, Ecología, Ingeniería Ambiental","N/A","N/A","N/A","N/A","A_t (6) para análisis de datos satelitales, muestreo y modelamiento. R_h (6) para trabajo de campo, diseño de investigación y pensamiento crítico. C_i (8) es alta. ISIA (-1.5) es Oportunidad; la IA permite analizar volúmenes de datos antes imposibles."
"Optometría",5,7,8,-2.0,"Oportunidad controlada / Acelerador","Tecnología Médica (Oftalmología), Medicina (Oftalmología)","Física (óptica), Diseño (marcos)","N/A","N/A","N/A","N/A","A_t (5) es media; los exámenes de refracción se automatizan. R_h (7) es clave en la interpretación de patologías y el trato al paciente. C_i (8) en equipos de diagnóstico. ISIA (-2.0) es Oportunidad; el rol se sofistica hacia la salud visual."
"Medicina Veterinaria",4,9,8,-6.0,"Expansión y crecimiento / Bajo riesgo","Medicina, Agronomía (animales), Zootecnia","Biología, Psicología (comportamiento animal)","N/A","N/A","N/A","N/A","A_t (4) similar a medicina humana (imágenes). R_h (9) es altísima; el paciente no habla, requiere alta habilidad diagnóstica y trato con el dueño. C_i (8) alta. ISIA (-6.0) es de Expansión."
"Ingeniería Civil",4,7,9,-4.0,"Oportunidad controlada / Acelerador","Ingeniería en Construcción, Arquitectura, Ingeniería Estructural","Ingeniería Industrial (gestión), Geología, Ingeniería Ambiental","N/A","N/A","N/A","N/A","A_t (4) es moderada (cálculos, modelado BIM), pero R_h (7) es clave (gestión de proyectos, seguridad, juicio estructural, terreno). C_i (9) es altísima para optimizar diseños y materiales. ISIA (-4.0) es Oportunidad."
"Ingeniería Industrial",6,7,9,-2.5,"Oportunidad controlada / Acelerador","Ingeniería Comercial, Logística, Control de Gestión","Ingeniería en Informática, Administración de Empresas, Psicología Organizacional","N/A","N/A","N/A","N/A","A_t (6) es alta para optimización de procesos y cadenas de suministro. R_h (7) es clave en la gestión del cambio, liderazgo y visión estratégica. C_i (9) total. ISIA (-2.5) es Oportunidad; la IA optimiza, el ingeniero lidera."
"Ingeniería en Informática",6,6,10,-5.0,"Oportunidad controlada / Acelerador","Técnico en Programación, Ingeniería en Telecomunicaciones","Matemáticas, Diseño (UX/UI), Lingüística (NLP)","N/A","N/A","N/A","N/A","A_t (6) es alta para código 'boilerplate' y testing. R_h (6) es clave en arquitectura, creatividad y comprensión del negocio. C_i (10) es total. ISIA (-5.0) es Oportunidad; la IA es el co-piloto que dispara la productividad, pero se necesita quien la dirija."
"Ingeniería Comercial",7,6,8,2.0,"Transformación híbrida / Co-piloto","Administración de Empresas, Marketing, Finanzas","Ingeniería Industrial, Psicología, Sociología","N/A","N/A","N/A","N/A","A_t (7) es alta en análisis de mercado, finanzas básicas y marketing digital. R_h (6) se mantiene en la estrategia, negociación y liderazgo. C_i (8) es alta. ISIA (2.0) es Híbrido; el rol debe migrar de analista a estratega."
"Ingeniería en Minas",5,6,9,-3.0,"Oportunidad controlada / Acelerador","Geología, Ingeniería Civil, Ingeniería Química (metalurgia)","Ingeniería Ambiental, Logística, Ingeniería Eléctrica (automatización)","N/A","N/A","N/A","N/A","A_t (5) en planificación y operación remota. R_h (6) en gestión de seguridad, terreno y estrategia extractiva. C_i (9) altísima (flotas autónomas, gemelos digitales). ISIA (-3.0) es Oportunidad."
"Ingeniería Química",6,6,9,-2.0,"Oportunidad controlada / Acelerador","Ingeniería en Alimentos, Ingeniería en Biotecnología, Química y Farmacia","Ingeniería Industrial, Ingeniería en Materiales, Ingeniería Ambiental","N/A","N/A","N/A","N/A","A_t (6) en simulación de procesos y control de planta. R_h (6) en diseño de procesos, seguridad y optimización. C_i (9) total. ISIA (-2.0) es Oportunidad; la IA optimiza, el ingeniero diseña."
"Ingeniería en Electricidad",6,5,9,-1.5,"Oportunidad controlada / Acelerador","Ingeniería en Mecánica, Ingeniería en Telecomunicaciones, Electrónica","Física, Ingeniería en Informática (control), Ingeniería Industrial","N/A","N/A","N/A","N/A","A_t (6) en diseño de redes, simulación y mantenimiento predictivo. R_h (5) en diseño de alto nivel y gestión de proyectos. C_i (9) alta. ISIA (-1.5) es Oportunidad."
"Ingeniería en Mecánica",5,6,9,-2.0,"Oportunidad controlada / Acelerador","Ingeniería en Electricidad, Ingeniería en Materiales, Diseño Industrial","Física, Ingeniería en Informática (simulación), Ingeniería Civil","N/A","N/A","N/A","N/A","A_t (5) en diseño CAD/CAE y simulación. R_h (6) en creatividad, resolución de problemas físicos y gestión. C_i (9) alta (diseño generativo). ISIA (-2.0) es Oportunidad."
"Ingeniería en Construcción",5,7,8,-2.5,"Oportunidad controlada / Acelerador","Ingeniería Civil, Arquitectura, Técnico en Construcción","Ingeniería Industrial (logística), Prevención de Riesgos, Administración","N/A","N/A","N/A","N/A","A_t (5) en modelado BIM y programación de obra. R_h (7) en gestión de terreno, personal y resolución de imprevistos. C_i (8) alta. ISIA (-2.5) es Oportunidad."
"Ingeniería en Alimentos",7,5,9,0.0,"Transformación híbrida / Co-piloto","Ingeniería Química, Nutrición y Dietética, Agronomía","Química y Farmacia, Biotecnología, Marketing","N/A","N/A","N/A","N/A","A_t (7) en control de calidad y formulación. R_h (5) en desarrollo de nuevos productos (creatividad) y seguridad alimentaria. C_i (9) alta. ISIA (0.0) es Híbrido."
"Ingeniería en Telecomunicaciones",7,4,9,-1.0,"Oportunidad controlada / Acelerador","Ingeniería en Informática, Ingeniería Eléctrica","Física, Matemáticas, Ingeniería Industrial","N/A","N/A","N/A","N/A","A_t (7) en gestión de redes y optimización de tráfico. R_h (4) en arquitectura de redes de alto nivel. C_i (9) total. ISIA (-1.0) es Oportunidad; la IA gestiona la red, el ingeniero la diseña y expande."
"Ingeniería en Biotecnología",7,6,9,-3.0,"Oportunidad controlada / Acelerador","Bioquímica, Ingeniería Química, Biología","Ingeniería en Informática (bioinformática), Medicina, Agronomía","N/A","N/A","N/A","N/A","A_t (7) en análisis de datos genómicos y simulación. R_h (6) en diseño de experimentos y ética. C_i (9) total. ISIA (-3.0) es Oportunidad (campo en expansión)."
"Ingeniería en Materiales",6,6,9,-2.5,"Oportunidad controlada / Acelerador","Ingeniería Química, Ingeniería Mecánica, Física","Diseño Industrial, Odontología (biomateriales), Química","N/A","N/A","N/A","N/A","A_t (6) en simulación y descubrimiento de nuevos materiales. R_h (6) en creatividad y aplicación práctica. C_i (9) alta. ISIA (-2.5) es Oportunidad."
"Ingeniería en Ambiental",5,7,9,-3.5,"Oportunidad controlada / Acelerador","Ingeniería Civil, Geografía, Biología, Ingeniería Química","Derecho (regulación), Sociología (impacto social), Geología","N/A","N/A","N/A","N/A","A_t (5) en modelamiento de impacto y análisis de datos. R_h (7) en evaluación de terreno, ética y regulación. C_i (9) alta. ISIA (-3.5) es Oportunidad por la alta demanda de sostenibilidad."
"Ingeniería en Prevención de Riesgos",5,8,8,-2.0,"Oportunidad controlada / Acelerador","Ingeniería Industrial, Kinesiología (ergonomía), Enfermería (salud ocupacional)","Derecho (laboral), Psicología (organizacional), Ingeniería Civil","N/A","N/A","N/A","N/A","A_t (5) en monitoreo y detección de riesgos (sensores). R_h (8) en capacitación, cultura de seguridad, empatía e investigación de accidentes. C_i (8) alta. ISIA (-2.0) es Oportunidad."
"Derecho",5,9,8,-2.0,"Oportunidad controlada / Acelerador","Ciencia Política, Administración Pública, Periodismo","Filosofía (ética), Economía, Psicología, Historia","N/A","N/A","N/A","N/A","A_t (5) en revisión de contratos, búsqueda de jurisprudencia. R_h (9) en estrategia de litigio, negociación, ética y persuasión. C_i (8) alta. ISIA (-2.0) es Oportunidad; la IA hace el trabajo de procurador, el abogado se centra en la estrategia."
"Trabajo Social",3,10,6,-7.0,"Expansión y crecimiento / Bajo riesgo","Psicología, Sociología, Terapia Ocupacional","Derecho (familia), Administración Pública, Enfermería","N/A","N/A","N/A","N/A","A_t (3) es muy baja (gestión de casos). R_h (10) es máxima; se basa en la intervención en crisis, empatía y red de apoyo. C_i (6) moderada. ISIA (-7.0) es Expansión; rol humano insustituible."
"Sociología",6,9,8,-3.0,"Oportunidad controlada / Acelerador","Antropología, Ciencia Política, Psicología","Periodismo, Historia, Estadística, Filosofía","N/A","N/A","N/A","N/A","A_t (6) en análisis de grandes datos sociales (redes sociales). R_h (9) en interpretación crítica, teoría social y diseño de investigación cualitativa. C_i (8) alta. ISIA (-3.0) es Oportunidad para el análisis."
"Antropología",4,10,7,-4.0,"Oportunidad controlada / Acelerador","Sociología, Arqueología, Historia","Filosofía, Lingüística, Trabajo Social, Geografía","N/A","N/A","N/A","N/A","A_t (4) en análisis de textos o patrones. R_h (10) es máxima; la etnografía, la observación participante y la interpretación cultural son puramente humanas. C_i (7) moderada. ISIA (-4.0) es Oportunidad."
"Ciencia Política",6,8,8,-2.5,"Oportunidad controlada / Acelerador","Derecho, Relaciones Internacionales, Sociología, Periodismo","Economía, Historia, Filosofía, Administración Pública","N/A","N/A","N/A","N/A","A_t (6) en análisis de sentimiento, modelamiento electoral. R_h (8) en teoría política, estrategia y negociación. C_i (8) alta. ISIA (-2.5) es Oportunidad."
"Relaciones Internacionales",6,8,8,-2.0,"Oportunidad controlada / Acelerador","Ciencia Política, Derecho, Comercio Internacional","Periodismo, Traducción, Historia, Economía","N/A","N/A","N/A","N/A","A_t (6) en análisis de coyuntura y monitoreo. R_h (8) en diplomacia, negociación, tacto cultural y estrategia. C_i (8) alta. ISIA (-2.0) es Oportunidad."
"Periodismo",7,8,8,2.5,"Transformación híbrida / Co-piloto","Comunicación Audiovisual, Relaciones Públicas, Literatura","Ciencia Política, Sociología, Derecho, Fotografía","N/A","N/A","N/A","N/A","A_t (7) es alta para noticias 'commodity' (deportes, finanzas) y transcripción. R_h (8) es clave en investigación, ética, construcción de fuentes y narrativa. C_i (8) alta. ISIA (2.5) es Híbrido; riesgo para el redactor, oportunidad para el investigador."
"Psicopedagogía",4,10,7,-5.0,"Expansión y crecimiento / Bajo riesgo","Educación Diferencial, Psicología, Pedagogía Básica","Terapia Ocupacional, Fonoaudiología","N/A","N/A","N/A","N/A","A_t (4) para tests diagnósticos. R_h (10) es máxima en la intervención, adaptación curricular y empatía con el estudiante y familia. C_i (7) moderada. ISIA (-5.0) es Expansión."
"Filosofía",3,10,5,-4.0,"Oportunidad controlada / Acelerador","Historia, Sociología, Derecho, Teología","Lingüística, Psicología, Matemáticas (lógica)","N/A","N/A","N/A","N/A","A_t (3) es muy baja (búsqueda de textos). R_h (10) es el núcleo (pensamiento crítico, ética, argumentación). C_i (5) baja. ISIA (-4.0) es Oportunidad; la IA necesita supervisión ética, rol clave para filósofos."
"Historia",4,9,7,-3.0,"Oportunidad controlada / Acelerador","Geografía, Antropología, Filosofía, Periodismo","Archivística, Derecho, Arte, Literatura","N/A","N/A","N/A","N/A","A_t (4) en digitalización y búsqueda de archivos. R_h (9) en interpretación de fuentes, narrativa y pensamiento crítico. C_i (7) moderada. ISIA (-3.0) es Oportunidad."
"Geografía",6,7,9,-2.5,"Oportunidad controlada / Acelerador","Geología, Historia, Ingeniería Ambiental","Arquitectura (urbanismo), Sociología, Agronomía","N/A","N/A","N/A","N/A","A_t (6) en análisis SIG y datos satelitales. R_h (7) en interpretación del territorio y trabajo de campo. C_i (9) alta (IA + SIG). ISIA (-2.5) es Oportunidad."
"Arqueología",4,8,8,-3.0,"Oportunidad controlada / Acelerador","Antropología, Historia, Geología","Química (datación), Arquitectura (patrimonio), Biología","N/A","N/A","N/A","N/A","A_t (4) en análisis de imágenes (LIDAR) y clasificación de artefactos. R_h (8) en trabajo de campo, interpretación y cuidado físico. C_i (8) alta. ISIA (-3.0) es Oportunidad."
"Bibliotecología",8,6,9,3.5,"Alta reconversión / Riesgo moderado","Archivística, Periodismo, Historia","Ingeniería en Informática (bases de datos), Pedagogía","N/A","N/A","N/A","N/A","A_t (8) es altísima en catalogación, búsqueda y gestión de recursos digitales. R_h (6) se mantiene en la curación y fomento lector. C_i (9) alta. ISIA (3.5) es Alta Reconversión; el rol migra de 'guardián' a 'curador digital'."
"Traducción e Interpretación",8,7,9,4.0,"Alta reconversión / Riesgo moderado","Lingüística, Periodismo, Pedagogía en Inglés","Derecho (legal), Relaciones Internacionales (diplomacia)","N/A","N/A","N/A","N/A","A_t (8) es muy alta para traducción general (IA neuronal). R_h (7) es clave en interpretación simultánea (presión), localización cultural y traducción literaria. C_i (9) total. ISIA (4.0) es Alta Reconversión; la traducción técnica simple desaparece."
"Lingüística",6,8,8,-1.0,"Oportunidad controlada / Acelerador","Filosofía, Traducción, Fonoaudiología","Ingeniería en Informática (NLP), Antropología, Psicología","N/A","N/A","N/A","N/A","A_t (6) en análisis de corpus. R_h (8) en teoría y desarrollo de modelos. C_i (8) alta. ISIA (-1.0) es Oportunidad; los lingüistas son clave para crear y entrenar las IA de lenguaje (NLP)."
"Pedagogía en Educación Básica",3,10,6,-7.0,"Expansión y crecimiento / Bajo riesgo","Pedagogía Parvularia, Educación Diferencial, Psicopedagogía","Psicología, Trabajo Social, Fonoaudiología","N/A","N/A","N/A","N/A","A_t (3) es muy baja. R_h (10) es máxima; gestión de aula, empatía, motivación y desarrollo socioemocional. C_i (6) como herramienta de apoyo. ISIA (-7.0) es Expansión."
"Pedagogía en Educación Media",4,9,7,-6.0,"Expansión y crecimiento / Bajo riesgo","Pedagogía Básica, Pedagogías de especialidad (Mat, Hist, etc)","Psicología (adolescente), Orientación Educacional","N/A","N/A","N/A","N/A","A_t (4) en creación de material o corrección. R_h (9) en didáctica, motivación y gestión de aula con adolescentes. C_i (7) alta. ISIA (-6.0) es Expansión."
"Pedagogía en Educación Parvularia",2,10,5,-8.0,"Expansión y crecimiento / Bajo riesgo","Pedagogía Básica, Educación Diferencial, Terapia Ocupacional","Psicología Infantil, Enfermería","N/A","N/A","N/A","N/A","A_t (2) es casi nula. R_h (10) es absoluta; cuidado, juego, desarrollo socioemocional temprano. C_i (5) baja. ISIA (-8.0) es Expansión. Probablemente la profesión más segura."
"Pedagogía en Inglés",6,8,8,0.0,"Transformación híbrida / Co-piloto","Traducción e Interpretación, Pedagogía Media","Lingüística, Turismo, Relaciones Internacionales","N/A","N/A","N/A","N/A","A_t (6) es alta; las apps de IA son excelentes para practicar gramática y vocabulario. R_h (8) es clave en la práctica conversacional, motivación y didáctica. C_i (8) alta. ISIA (0.0) es Híbrido; el profesor guía la práctica con IA."
"Pedagogía en Historia y Geografía",4,9,7,-5.0,"Expansión y crecimiento / Bajo riesgo","Historia, Geografía, Pedagogía Media","Antropología, Sociología","N/A","N/A","N/A","N/A","A_t (4) baja. R_h (9) alta; el objetivo es enseñar pensamiento crítico e interpretación, no solo datos. C_i (7) moderada. ISIA (-5.0) es Expansión."
"Pedagogía en Matemáticas",5,8,9,-3.0,"Oportunidad controlada / Acelerador","Matemáticas, Física, Ingeniería","Economía, Estadística","N/A","N/A","N/A","N/A","A_t (5) puede resolver problemas. R_h (8) es clave en la didáctica; explicar 'por qué' y cómo pensar. C_i (9) alta; la IA como tutor personalizado. ISIA (-3.0) es Oportunidad."
"Pedagogía en Ciencias Naturales",4,9,8,-4.0,"Oportunidad controlada / Acelerador","Biología, Química, Física, Pedagogía Media","Medicina, Ingeniería, Filosofía (de la ciencia)","N/A","N/A","N/A","N/A","A_t (4) para simulaciones. R_h (9) para laboratorios (seguridad), método científico y pensamiento crítico. C_i (8) alta. ISIA (-4.0) es Oportunidad."
"Pedagogía en Artes Visuales",3,10,8,-5.0,"Oportunidad controlada / Acelerador","Arte, Diseño Gráfico, Pedagogía Media","Arquitectura, Filosofía (estética), Historia del Arte","N/A","N/A","N/A","N/A","A_t (3) baja (IA generativa es una herramienta, no reemplaza la enseñanza). R_h (10) en creatividad, técnica manual y expresión. C_i (8) alta (IA como nuevo pincel). ISIA (-5.0) es Oportunidad."
"Pedagogía en Música",3,10,7,-5.5,"Expansión y crecimiento / Bajo riesgo","Música, Pedagogía Media","Física (sonido), Fonoaudiología (voz)","N/A","N/A","N/A","N/A","A_t (3) baja. R_h (10) en técnica instrumental, dirección de ensambles, expresión y audición. C_i (7) moderada. ISIA (-5.5) es Expansión."
"Educación Diferencial",3,10,7,-7.0,"Expansión y crecimiento / Bajo riesgo","Psicopedagogía, Terapia Ocupacional, Pedagogía Básica","Psicología, Fonoaudiología, Trabajo Social","N/A","N/A","N/A","N/A","A_t (3) baja. R_h (10) máxima; adaptación, empatía, intervención 1 a 1. C_i (7) moderada. ISIA (-7.0) es Expansión."
"Orientación Educacional",4,10,6,-6.0,"Expansión y crecimiento / Bajo riesgo","Psicología, Trabajo Social, Pedagogía Media","Administración de RRHH, Sociología","N/A","N/A","N/A","N/A","A_t (4) para tests vocacionales. R_h (10) en el consejo, contención emocional y desarrollo de carrera. C_i (6) moderada. ISIA (-6.0) es Expansión."
"Contador Auditor",8,5,9,4.5,"Alta reconversión / Riesgo moderado","Auditoría, Ingeniería Comercial, Finanzas","Derecho (tributario), Ingeniería en Informática (ERP), Control de Gestión","N/A","N/A","N/A","N/A","A_t (8) es muy alta; registro, conciliación y auditoría de transacciones son automatizables. R_h (5) se mantiene en la ética, interpretación de normas complejas y estrategia fiscal. C_i (9) alta. ISIA (4.5) es Alta Reconversión."
"Administración de Empresas",8,6,8,3.0,"Alta reconversión / Riesgo moderado","Ingeniería Comercial, Técnico en Administración, Recursos Humanos","Psicología Organizacional, Marketing, Contabilidad","N/A","N/A","N/A","N/A","A_t (8) alta en tareas administrativas, reportes y gestión básica. R_h (6) se mantiene en liderazgo, estrategia y gestión de personas. C_i (8) alta. ISIA (3.0) es Alta Reconversión; el 'administrador' debe ser 'líder'."
"Administración Pública",7,7,8,1.0,"Transformación híbrida / Co-piloto","Derecho, Ciencia Política, Trabajo Social","Economía, Sociología, Ingeniería Industrial","N/A","N/A","N/A","N/A","A_t (7) en burocracia, gestión de trámites y análisis de datos. R_h (7) en política pública, ética y gestión de crisis. C_i (8) alta. ISIA (1.0) es Híbrido."
"Economía",8,6,9,0.0,"Transformación híbrida / Co-piloto","Ingeniería Comercial, Finanzas, Matemáticas, Estadística","Ciencia Política, Sociología, Derecho, Filosofía","N/A","N/A","N/A","N/A","A_t (8) en modelamiento econométrico y análisis de datos. R_h (6) en teoría económica e interpretación para políticas públicas. C_i (9) total. ISIA (0.0) es Híbrido; el economista que no programa (en IA) tiene riesgo."
"Ingeniería Comercial",7,6,8,2.0,"Transformación híbrida / Co-piloto","Administración de Empresas, Marketing, Finanzas","Ingeniería Industrial, Psicología, Sociología","N/A","N/A","N/A","N/A","(Duplicado, misma evaluación que la anterior) A_t (7) es alta en análisis de mercado, finanzas básicas y marketing digital. R_h (6) se mantiene en la estrategia, negociación y liderazgo. C_i (8) es alta. ISIA (2.0) es Híbrido; el rol debe migrar de analista a estratega."
"Auditoría",8,5,9,4.5,"Alta reconversión / Riesgo moderado","Contador Auditor, Control de Gestión, Finanzas","Derecho, Ingeniería en Informática","N/A","N/A","N/A","N/A","(Duplicado, misma evaluación que Contador Auditor) A_t (8) es muy alta. R_h (5) se mantiene en la ética y la interpretación. C_i (9) alta. ISIA (4.5) es Alta Reconversión."
"Control de Gestión",8,6,9,2.5,"Transformación híbrida / Co-piloto","Ingeniería Industrial, Contabilidad, Ingeniería Comercial","Ingeniería en Informática (BI), Administración de Empresas","N/A","N/A","N/A","N/A","A_t (8) en generación de KPIs, reportes y dashboards. R_h (6) en la interpretación de los datos para la toma de decisiones y estrategia. C_i (9) total. ISIA (2.5) es Híbrido; el rol pasa de 'crear el reporte' a 'explicar el reporte'."
"Logística y Transporte",8,5,9,3.0,"Alta reconversión / Riesgo moderado","Ingeniería Industrial, Comercio Internacional, Administración","Ingeniería en Informática, Ingeniería en Minas (suministro)","N/A","N/A","N/A","N/A","A_t (8) en optimización de rutas, gestión de inventario y bodegas robotizadas. R_h (5) en negociación con proveedores y gestión de crisis. C_i (9) total. ISIA (3.0) es Alta Reconversión."
"Marketing",8,6,9,2.0,"Transformación híbrida / Co-piloto","Publicidad, Ingeniería Comercial, Diseño Gráfico","Psicología (consumidor), Sociología, Periodismo, Informática (MarTech)","N/A","N/A","N/A","N/A","A_t (8) en análisis de datos, compra programática, SEO y generación de contenido simple. R_h (6) en estrategia de marca, creatividad y comprensión del consumidor. C_i (9) total. ISIA (2.0) es Híbrido."
"Ingeniería en Finanzas",9,4,9,4.0,"Alta reconversión / Riesgo moderado","Economía, Ingeniería Comercial, Contabilidad","Matemáticas, Estadística, Ingeniería en Informática, Actuaría","N/A","N/A","N/A","N/A","A_t (9) es altísima en análisis de riesgo, trading algorítmico y modelamiento. R_h (4) en estrategia de inversión de alto nivel y ética. C_i (9) total. ISIA (4.0) es Alta Reconversión; rol muy automatizable."
"Actuaría",9,5,9,3.5,"Alta reconversión / Riesgo moderado","Estadística, Matemáticas, Ingeniería en Finanzas","Economía, Ingeniería en Informática, Derecho (seguros)","N/A","N/A","N/A","N/A","A_t (9) en cálculo de riesgo, primas y modelos de mortalidad. R_h (5) en la interpretación de modelos complejos y ética. C_i (9) total. ISIA (3.5) es Alta Reconversión."
"Comercio Internacional",8,6,8,2.5,"Transformación híbrida / Co-piloto","Logística, Ingeniería Comercial, Relaciones Internacionales","Derecho (aduanas), Finanzas (divisas), Administración","N/A","N/A","N/A","N/A","A_t (8) en gestión documental (aduanas) y análisis de mercados. R_h (6) en negociación cultural y estrategia de entrada. C_i (8) alta. ISIA (2.5) es Híbrido."
"Gestión de Turismo",6,8,7,0.5,"Transformación híbrida / Co-piloto","Hotelería, Relaciones Públicas, Marketing","Geografía, Historia, Administración de Empresas, Pedagogía en Inglés","N/A","N/A","N/A","N/A","A_t (6) en reservas y planificación (IA generativa). R_h (8) en servicio al cliente, hospitalidad y gestión de experiencias 'in situ'. C_i (7) alta. ISIA (0.5) es Híbrido."
"Administración de Recursos Humanos",7,8,8,1.5,"Transformación híbrida / Co-piloto","Psicología Organizacional, Trabajo Social, Administración de Empresas","Derecho (laboral), Sociología, Pedagogía","N/A","N/A","N/A","N/A","A_t (7) en reclutamiento (filtro de CVs), nóminas y administración. R_h (8) en gestión del talento, cultura organizacional, mediación y liderazgo. C_i (8) alta. ISIA (1.5) es Híbrido; el 'jefe de personal' se automatiza, el 'socio de negocio' crece."
