Profesión,A_t,R_h,C_i,ISIA_5años,Categoría_Impacto,Profesiones_Núcleo,Profesiones_Complementarias,SIES_CNED_Núcleo,CINE_F_Núcleo,SIES_CNED_Complementarias,CINE_F_Complementarias,Explicación_Valores
Bioquímica,6,6,8,-0.8,Transformación híbrida,"Química, Biología, Química y Farmacia","Medicina, Ingeniería en Biotecnología, Tecnología Médica","0511, 0511, 0531","0511, 0511, 0531","0912, 0711, 0913","0912, 0711, 0913","A_t medio-alto: análisis de laboratorio muy automatizable. R_h medio-alto: interpretación de datos complejos. C_i muy alto: instrumentación automatizada. ISIA cercano a 0: automatización compensa con mayor demanda."
Biología Marina,4,7,7,-2.2,Oportunidad controlada,"Biología, Oceanografía, Ingeniería en Acuicultura","Ingeniería Ambiental, Química, Geología","0511, 0532, 0831","0511, 0532, 0831","0713, 0531, 0532","0713, 0531, 0532","A_t medio: monitoreo automatizable pero investigación requiere juicio. R_h alto: trabajo de campo adaptativo. C_i alto: sensores oceánicos y drones. ISIA negativo leve: crisis climática aumenta investigación."
Optometría,5,7,7,-1.8,Oportunidad controlada,"Medicina, Tecnología Médica, Oftalmología","Ingeniería en Biotecnología, Física","0912, 0913","0912, 0913","0711, 0533","0711, 0533","A_t medio: diagnósticos automatizables con equipos. R_h alto: atención personalizada en adaptación. C_i alto: equipamiento digital avanzado. ISIA negativo leve: uso de pantallas aumenta problemas visuales."
Medicina Veterinaria,3,9,7,-4.5,Expansión y crecimiento,"Agronomía, Biología, Zootecnia","Química, Tecnología Médica, Ingeniería en Alimentos","0841, 0511, 0812","0841, 0511, 0812","0531, 0913, 0541","0531, 0913, 0541","A_t bajo: cada especie requiere conocimiento específico. R_h muy alto: empatía con dueños y animales. C_i alto: imagenología veterinaria. ISIA negativo: creciente tenencia de mascotas y producción animal."
Ingeniería Civil,4,7,9,-3.2,Oportunidad controlada,"Arquitectura, Ingeniería en Construcción, Ingeniería Industrial","Geología, Ingeniería Ambiental, Administración","0713, 0732, 0714","0713, 0732, 0714","0532, 0713, 0413","0532, 0713, 0413","A_t medio: cálculos automatizables pero diseño requiere juicio. R_h alto: coordinación de equipos y supervisión. C_i muy alto: BIM y modelado estructural. ISIA negativo: déficit habitacional e infraestructura."
Ingeniería Industrial,5,6,9,-1.2,Transformación híbrida,"Ingeniería Comercial, Administración de Empresas, Ingeniería Civil","Economía, Control de Gestión, Logística","0714, 0415, 0713","0714, 0415, 0713","0311, 0412, 0416","0311, 0412, 0416","A_t medio: optimización de procesos muy algoritmizable. R_h medio-alto: liderazgo y gestión de cambio. C_i muy alto: simulación y análisis predictivo. ISIA negativo leve: industria 4.0 requiere más ingenieros."
Ingeniería en Informática,6,5,10,-2.8,Oportunidad controlada,"Ingeniería Civil Informática, Técnico en Programación","Ingeniería Industrial, Matemáticas, Ingeniería en Telecomunicaciones","0610, 0610, 0613","0610, 0610, 0613","0714, 0541, 0612","0714, 0541, 0612","A_t medio-alto: código generado por IA. R_h medio: arquitectura y decisiones estratégicas. C_i máximo: copilots y herramientas IA. ISIA negativo: demanda explosiva de transformación digital."
Ingeniería Comercial,5,7,9,-2.5,Oportunidad controlada,"Administración de Empresas, Ingeniería Industrial, Economía","Marketing, Finanzas, Contador Auditor","0415, 0714, 0311","0415, 0714, 0311","0414, 0411, 0411","0414, 0411, 0411","A_t medio: análisis financiero automatizable. R_h alto: negociación y estrategia. C_i muy alto: analytics y forecasting. ISIA negativo: transformación digital empresarial constante."
Ingeniería en Minas,4,7,8,-2.8,Oportunidad controlada,"Geología, Ingeniería Civil, Ingeniería Metalúrgica","Ingeniería Ambiental, Ingeniería Mecánica, Administración","0712, 0532, 0713","0712, 0532, 0713","0713, 0715, 0413","0713, 0715, 0413","A_t medio: extracción automatizable pero planificación requiere experiencia. R_h alto: gestión de equipos y seguridad. C_i muy alto: automatización minera y sensores. ISIA negativo: transición energética requiere minerales."
Ingeniería Química,5,6,8,-1.5,Oportunidad controlada,"Química, Ingeniería en Alimentos, Ingeniería en Biotecnología","Ingeniería Ambiental, Bioquímica, Ingeniería Industrial","0711, 0541, 0711","0711, 0541, 0711","0713, 0511, 0714","0713, 0511, 0714","A_t medio: procesos industriales automatizables. R_h medio-alto: optimización y troubleshooting. C_i muy alto: control de procesos con IA. ISIA negativo leve: industria química sostenible en crecimiento."
Ingeniería en Electricidad,5,6,8,-1.8,Oportunidad controlada,"Ingeniería en Telecomunicaciones, Ingeniería Electrónica","Ingeniería en Energía, Física, Ingeniería Industrial","0713, 0612, 0713","0713, 0612, 0713","0713, 0533, 0714","0713, 0533, 0714","A_t medio: diseño de circuitos asistido por IA. R_h medio-alto: resolución de problemas complejos. C_i muy alto: simulación y diseño CAD. ISIA negativo leve: electrificación y energías renovables."
Ingeniería en Mecánica,5,6,8,-1.5,Oportunidad controlada,"Ingeniería Industrial, Ingeniería Civil, Diseño Industrial","Ingeniería en Materiales, Física, Ingeniería en Manufactura","0715, 0714, 0713","0715, 0714, 0713","0712, 0533, 0715","0712, 0533, 0715","A_t medio: diseño CAD automatizable. R_h medio-alto: innovación mecánica. C_i muy alto: simulación FEA y manufactura. ISIA negativo leve: automatización industrial requiere más ingenieros."
Ingeniería en Construcción,4,7,8,-2.8,Oportunidad controlada,"Ingeniería Civil, Arquitectura, Construcción Civil","Ingeniería en Prevención, Administración, Topografía","0732, 0713, 0732","0732, 0713, 0732","0723, 0413, 0532","0723, 0413, 0532","A_t medio: planificación asistida pero ejecución requiere supervisión. R_h alto: coordinación en terreno. C_i muy alto: BIM y gestión de proyectos. ISIA negativo: déficit habitacional crítico."
Ingeniería en Alimentos,5,6,8,-1.2,Transformación híbrida,"Nutrición, Ingeniería Química, Agronomía","Bioquímica, Química, Ingeniería Industrial","0541, 0711, 0811","0541, 0711, 0811","0511, 0531, 0714","0511, 0531, 0714","A_t medio: procesamiento automatizable. R_h medio-alto: innovación y control de calidad. C_i muy alto: sensores y trazabilidad. ISIA negativo leve: food tech y alimentos funcionales."
Ingeniería en Telecomunicaciones,6,5,9,-1.5,Oportunidad controlada,"Ingeniería en Informática, Ingeniería Eléctrica","Ingeniería Electrónica, Física, Matemáticas","0612, 0610, 0713","0612, 0610, 0713","0713, 0533, 0541","0713, 0533, 0541","A_t medio-alto: configuración de redes automatizable. R_h medio: arquitectura de sistemas complejos. C_i muy alto: redes autogestionadas. ISIA negativo leve: 5G y conectividad en expansión."
Ingeniería en Biotecnología,5,7,9,-2.5,Oportunidad controlada,"Bioquímica, Biología, Ingeniería Química","Medicina, Química, Ingeniería Genética","0711, 0511, 0511","0711, 0511, 0511","0912, 0531, 0711","0912, 0531, 0711","A_t medio: experimentos automatizables pero diseño requiere creatividad. R_h alto: investigación e innovación. C_i muy alto: bioinformática y CRISPR. ISIA negativo: bioeconomía y medicina personalizada."
Ingeniería en Materiales,5,6,8,-1.8,Oportunidad controlada,"Ingeniería Mecánica, Química, Física","Ingeniería Civil, Nanotecnología, Metalurgia","0712, 0531, 0533","0712, 0531, 0533","0713, 0712, 0712","0713, 0712, 0712","A_t medio: análisis de propiedades automatizable. R_h medio-alto: desarrollo de nuevos materiales. C_i muy alto: simulación molecular. ISIA negativo leve: materiales sostenibles en demanda."
Ingeniería en Ambiental,4,8,8,-3.5,Oportunidad controlada,"Ingeniería Civil, Química, Biología","Geología, Agronomía, Ingeniería Forestal","0713, 0531, 0511","0713, 0531, 0511","0532, 0811, 0821","0532, 0811, 0821","A_t medio: monitoreo automatizable. R_h alto: evaluación de impacto y soluciones complejas. C_i muy alto: sensores ambientales y modelado. ISIA negativo: crisis climática y regulación ambiental."
Ingeniería en Prevención de Riesgos,4,8,7,-3.2,Oportunidad controlada,"Ingeniería en Construcción, Salud Ocupacional","Ingeniería Industrial, Enfermería, Psicología","0723, 0723","0723, 0723","0714, 0913, 0313","0714, 0913, 0313","A_t medio: auditorías sistematizables. R_h alto: cultura de seguridad y capacitación. C_i alto: monitoreo con sensores IoT. ISIA negativo: normativas más estrictas post-pandemia."
Derecho,4,9,7,-4.5,Expansión y crecimiento,"Ciencia Política, Relaciones Internacionales","Administración Pública, Sociología, Filosofía","0421, 0312, 0312","0421, 0312, 0312","0413, 0314, 0223","0413, 0314, 0223","A_t medio: investigación legal automatizable. R_h muy alto: argumentación y negociación. C_i alto: legal tech y análisis de jurisprudencia. ISIA negativo: complejidad regulatoria creciente."
Trabajo Social,3,10,6,-5.8,Expansión y crecimiento,"Psicología, Sociología, Antropología","Derecho, Educación, Orientación","0923, 0313, 0314","0923, 0313, 0314","0421, 0113, 0114","0421, 0113, 0114","A_t bajo: casos requieren evaluación humana profunda. R_h máximo: empatía y advocacy. C_i medio: gestión de casos digitalizada. ISIA negativo: vulnerabilidad social y envejecimiento."
Sociología,4,9,7,-3.8,Oportunidad controlada,"Antropología, Ciencia Política, Trabajo Social","Psicología, Historia, Estadística","0314, 0314, 0923","0314, 0314, 0923","0313, 0222, 0542","0313, 0222, 0542","A_t medio: encuestas automatizables. R_h muy alto: interpretación cualitativa y teorización. C_i alto: big data social. ISIA negativo: análisis de fenómenos sociales complejos en demanda."
Antropología,3,9,6,-4.2,Expansión y crecimiento,"Sociología, Arqueología, Historia","Filosofía, Geografía, Trabajo Social","0314, 0222, 0222","0314, 0222, 0222","0223, 0532, 0923","0223, 0532, 0923","A_t bajo: etnografía requiere inmersión humana. R_h muy alto: interpretación cultural profunda. C_i medio: digitalización de datos. ISIA negativo: diversidad cultural y consultas indígenas."
Ciencia Política,4,8,7,-3.5,Oportunidad controlada,"Sociología, Relaciones Internacionales, Derecho","Economía, Historia, Filosofía","0312, 0314, 0421","0312, 0314, 0421","0311, 0222, 0223","0311, 0222, 0223","A_t medio: análisis de datos políticos automatizable. R_h alto: análisis estratégico y político. C_i alto: modelos predictivos electorales. ISIA negativo: complejidad política y asesoría estratégica."
Relaciones Internacionales,4,8,7,-3.2,Oportunidad controlada,"Ciencia Política, Derecho, Comercio Internacional","Traducción, Historia, Economía","0312, 0421, 0416","0312, 0421, 0416","0231, 0222, 0311","0231, 0222, 0311","A_t medio: investigación automatizable. R_h alto: diplomacia y negociación intercultural. C_i alto: análisis geopolítico con IA. ISIA negativo: globalización y conflictos internacionales."
Periodismo,6,8,8,1.2,Transformación híbrida,"Comunicación Audiovisual, Publicidad, Literatura","Ciencia Política, Sociología, Diseño Gráfico","0321, 0321, 0231","0321, 0321, 0231","0312, 0314, 0212","0312, 0314, 0212","A_t medio-alto: noticias automatizadas. R_h alto: investigación profunda y ética. C_i muy alto: redacción asistida y verificación. ISIA neutro-positivo: automatización de noticias básicas pero demanda de investigación."
Psicopedagogía,3,9,6,-4.8,Expansión y crecimiento,"Educación Diferencial, Psicología, Pedagogía","Fonoaudiología, Terapia Ocupacional, Trabajo Social","0114, 0113, 0111","0114, 0113, 0111","0916, 0916, 0923","0916, 0916, 0923","A_t bajo: diagnóstico educativo requiere observación humana. R_h muy alto: adaptación pedagógica individual. C_i medio: software educativo adaptativo. ISIA negativo: inclusión educativa y NEE."
Filosofía,2,10,5,-5.2,Expansión y crecimiento,"Historia, Sociología, Letras","Derecho, Ciencia Política, Psicología","0223, 0222, 0231","0223, 0222, 0231","0421, 0312, 0313","0421, 0312, 0313","A_t muy bajo: pensamiento crítico no automatizable. R_h máximo: reflexión y argumentación compleja. C_i bajo: pocas herramientas IA aplicables. ISIA negativo: ética de IA y pensamiento crítico en demanda."
Historia,3,9,7,-3.8,Oportunidad controlada,"Geografía, Arqueología, Sociología","Filosofía, Ciencia Política, Pedagogía","0222, 0222, 0314","0222, 0222, 0314","0223, 0312, 0111","0223, 0312, 0111","A_t bajo: interpretación histórica requiere contexto humano. R_h muy alto: análisis crítico de fuentes. C_i alto: digitalización de archivos y análisis textual. ISIA negativo: memoria histórica y patrimonio."
Geografía,4,8,8,-2.8,Oportunidad controlada,"Historia, Geología, Cartografía","Ingeniería Ambiental, Sociología, Urbanismo","0532, 0222, 0532","0532, 0222, 0532","0713, 0314, 0732","0713, 0314, 0732","A_t medio: mapeo automatizable. R_h alto: análisis territorial y planificación. C_i muy alto: GIS y teledetección. ISIA negativo: ordenamiento territorial y cambio climático."
Arqueología,3,8,7,-3.5,Oportunidad controlada,"Historia, Antropología, Geología","Geografía, Arquitectura, Biología","0222, 0314, 0532","0222, 0314, 0532","0532, 0731, 0511","0532, 0731, 0511","A_t bajo: excavación requiere trabajo de campo especializado. R_h alto: interpretación de hallazgos. C_i alto: datación y escaneo 3D. ISIA negativo: patrimonio cultural y turismo arqueológico."
Bibliotecología,7,6,7,2.5,Alta reconversión,"Archivística, Documentación, Pedagogía","Historia, Informática, Administración","0322, 0322, 0111","0322, 0322, 0111","0222, 0610, 0413","0222, 0610, 0413","A_t alto: catalogación automatizable. R_h medio-alto: curaduría y mediación lectora. C_i alto: sistemas de gestión bibliotecaria. ISIA positivo: automatización de tareas pero transformación a curador digital."
Traducción e Interpretación,7,7,8,1.8,Transformación híbrida,"Lingüística, Pedagogía en Inglés, Literatura","Relaciones Internacionales, Derecho, Turismo","0231, 0231, 0111","0231, 0231, 0111","0312, 0421, 1015","0312, 0421, 1015","A_t alto: traducción automática avanzada. R_h alto: matices culturales y literarios. C_i muy alto: CAT tools y post-edición. ISIA positivo leve: traducción básica automatizada pero demanda de especialización."
Lingüística,4,9,8,-2.5,Oportunidad controlada,"Traducción, Fonoaudiología, Pedagogía en Inglés","Filosofía, Antropología, Informática","0232, 0916, 0111","0232, 0916, 0111","0223, 0314, 0610","0223, 0314, 0610","A_t medio: análisis computacional posible. R_h muy alto: teorización del lenguaje. C_i muy alto: PLN y desarrollo de modelos de lenguaje. ISIA negativo: desarrollo de IA de lenguaje requiere lingüistas."
Pedagogía en Educación Básica,3,10,6,-5.5,Expansión y crecimiento,"Educación Parvularia, Pedagogía Media, Psicopedagogía","Psicología, Trabajo Social, Orientación","0112, 0111, 0114","0112, 0111, 0114","0313, 0923, 0114","0313, 0923, 0114","A_t bajo: enseñanza requiere conexión humana. R_h máximo: adaptación pedagógica y motivación. C_i medio: plataformas educativas. ISIA negativo: déficit de profesores y educación de calidad."
Pedagogía en Educación Media,3,10,6,-5.2,Expansión y crecimiento,"Pedagogía Básica, Pedagogías específicas, Psicopedagogía","Psicología, Orientación, Trabajo Social","0111, 0111, 0114","0111, 0111, 0114","0313, 0114, 0923","0313, 0114, 0923","A_t bajo: adolescentes requieren mentores humanos. R_h máximo: manejo de aula y orientación vocacional. C_i medio: herramientas digitales educativas. ISIA negativo: déficit docente crítico."
Pedagogía en Educación Parvularia,2,10,5,-6.2,Expansión y crecimiento,"Educación Básica, Psicopedagogía, Educación Diferencial","Psicología, Trabajo Social, Terapia Ocupacional","0111, 0112, 0113","0111, 0112, 0113","0313, 0923, 0916","0313, 0923, 0916","A_t muy bajo: primera infancia requiere cuidado humano intensivo. R_h máximo: desarrollo socioemocional crítico. C_i bajo: pocas herramientas IA aplicables. ISIA muy negativo: expansión de educación inicial."
Pedagogía en Inglés,4,9,7,-3.5,Oportunidad controlada,"Traducción, Pedagogía Media, Lingüística","Turismo, Literatura, Pedagogía Básica","0111, 0231, 0232","0111, 0231, 0232","1015, 0231, 0112","1015, 0231, 0112","A_t medio: apps de idiomas disponibles. R_h muy alto: corrección cultural y motivación. C_i alto: herramientas de pronunciación. ISIA negativo: inglés esencial en globalización."
Pedagogía en Historia y Geografía,3,9,6,-4.5,Expansión y crecimiento,"Historia, Geografía, Pedagogía Media","Ciencia Política, Sociología, Turismo","0111, 0222, 0532","0111, 0222, 0532","0312, 0314, 1015","0312, 0314, 1015","A_t bajo: pensamiento crítico histórico no automatizable. R_h muy alto: formar ciudadanía y conciencia social. C_i medio: recursos digitales educativos. ISIA negativo: formación ciudadana y déficit docente."
Pedagogía en Matemáticas,4,9,7,-3.8,Oportunidad controlada,"Matemáticas, Pedagogía Media, Ingeniería","Física, Estadística, Pedagogía Básica","0111, 0541, 0713","0111, 0541, 0713","0533, 0542, 0112","0533, 0542, 0112","A_t medio: ejercicios automatizables. R_h muy alto: explicar conceptos abstractos y motivar. C_i alto: software matemático educativo. ISIA negativo: déficit crítico de profesores de matemáticas."
Pedagogía en Ciencias Naturales,4,9,7,-4.2,Expansión y crecimiento,"Biología, Química, Pedagogía Media","Física, Ingeniería Ambiental, Medicina","0111, 0511, 0531","0111, 0511, 0531","0533, 0713, 0912","0533, 0713, 0912","A_t medio: simulaciones disponibles. R_h muy alto: despertar curiosidad científica. C_i alto: laboratorios virtuales. ISIA negativo: educación STEM prioritaria y déficit docente."
Pedagogía en Artes Visuales,2,10,5,-5.5,Expansión y crecimiento,"Arte, Diseño Gráfico, Pedagogía Media","Arquitectura, Historia del Arte, Psicología","0111, 0213, 0212","0111, 0213, 0212","0731, 0222, 0313","0731, 0222, 0313","A_t muy bajo: creatividad artística esencialmente humana. R_h máximo: expresión individual y desarrollo creativo. C_i bajo: herramientas digitales auxiliares. ISIA negativo: educación artística para desarrollo integral."
Pedagogía en Música,2,10,5,-5.2,Expansión y crecimiento,"Música, Pedagogía Media, Artes","Psicología, Terapia, Fonoaudiología","0111, 0215, 0211","0111, 0215, 0211","0313, 0916, 0916","0313, 0916, 0916","A_t muy bajo: enseñanza musical requiere demostración y escucha. R_h máximo: sensibilidad auditiva y expresión. C_i bajo: software musical limitado para pedagogía. ISIA negativo: música como desarrollo cognitivo y emocional."
Educación Diferencial,2,10,5,-6.5,Expansión y crecimiento,"Psicopedagogía, Fonoaudiología, Terapia Ocupacional","Psicología, Trabajo Social, Enfermería","0113, 0114, 0916","0113, 0114, 0916","0313, 0923, 0913","0313, 0923, 0913","A_t muy bajo: NEE requieren atención humana personalizada. R_h máximo: adaptación individual extrema. C_i bajo: tecnología asistiva básica. ISIA muy negativo: inclusión obligatoria y déficit crítico."
Orientación Educacional,3,10,6,-5.5,Expansión y crecimiento,"Psicología, Psicopedagogía, Pedagogía","Trabajo Social, Sociología, Recursos Humanos","0114, 0313, 0111","0114, 0313, 0111","0923, 0314, 0413","0923, 0314, 0413","A_t bajo: orientación vocacional requiere empatía profunda. R_h máximo: acompañamiento emocional y proyecto de vida. C_i medio: tests vocacionales digitales. ISIA negativo: salud mental estudiantil y convivencia escolar."
Contador Auditor,7,5,9,3.2,Alta reconversión,"Auditoría, Control de Gestión, Administración","Economía, Ingeniería Comercial, Derecho","0411, 0412, 0413","0411, 0412, 0413","0311, 0415, 0421","0311, 0415, 0421","A_t alto: contabilidad básica muy automatizable. R_h medio: auditoría y juicio profesional. C_i muy alto: software contable con IA. ISIA positivo medio: tareas rutinarias automatizadas pero consultoría estratégica crece."
Administración de Empresas,6,6,9,0.5,Transformación híbrida,"Ingeniería Comercial, Ingeniería Industrial, Economía","Marketing, Recursos Humanos, Finanzas","0413, 0415, 0311","0413, 0415, 0311","0414, 0413, 0411","0414, 0413, 0411","A_t medio-alto: análisis administrativo automatizable. R_h medio-alto: liderazgo y estrategia. C_i muy alto: analytics y automatización de procesos. ISIA neutro: transformación digital requiere administradores pero automatiza tareas básicas."
Administración Pública,5,8,7,-2.2,Oportunidad controlada,"Ciencia Política, Derecho, Administración de Empresas","Sociología, Economía, Trabajo Social","0413, 0312, 0421","0413, 0312, 0421","0314, 0311, 0923","0314, 0311, 0923","A_t medio: procesos burocráticos automatizables. R_h alto: políticas públicas y coordinación intersectorial. C_i alto: gobierno digital. ISIA negativo leve: modernización del Estado."
Economía,5,7,9,-1.8,Oportunidad controlada,"Ingeniería Comercial, Estadística, Finanzas","Ciencia Política, Matemáticas, Sociología","0311, 0542, 0411","0311, 0542, 0411","0312, 0541, 0314","0312, 0541, 0314","A_t medio: modelos económicos automatizables. R_h alto: interpretación y policy. C_i muy alto: econometría y forecasting. ISIA negativo leve: análisis económico cada vez más complejo."
Auditoría,7,6,9,2.8,Alta reconversión,"Contador Auditor, Control de Gestión, Ingeniería Comercial","Derecho, Administración, Finanzas","0411, 0412, 0415","0411, 0412, 0415","0421, 0413, 0411","0421, 0413, 0411","A_t alto: auditoría de datos automatizable. R_h medio-alto: juicio profesional y escepticismo. C_i muy alto: análisis de big data. ISIA positivo: automatización de revisiones pero consultorías especializadas crecen."
Control de Gestión,6,6,9,1.2,Transformación híbrida,"Contador Auditor, Ingeniería Industrial, Administración","Finanzas, Economía, Estadística","0412, 0714, 0413","0412, 0714, 0413","0411, 0311, 0542","0411, 0311, 0542","A_t medio-alto: KPIs y dashboards automatizados. R_h medio-alto: interpretación estratégica. C_i muy alto: BI y analytics predictivo. ISIA neutro-positivo: reporting automatizado pero análisis estratégico necesario."
Logística y Transporte,6,5,9,1.8,Transformación híbrida,"Ingeniería Industrial, Administración, Comercio Internacional","Ingeniería en Operaciones, Geografía, Informática","0416, 0714, 0416","0416, 0714, 0416","0715, 0532, 0610","0715, 0532, 0610","A_t medio-alto: rutas optimizables algorítmicamente. R_h medio: coordinación y contingencias. C_i muy alto: automatización de bodegas y flotas. ISIA positivo leve: automatización logística pero e-commerce aumenta demanda."
Marketing,6,7,9,0.8,Transformación híbrida,"Publicidad, Diseño Gráfico, Administración","Psicología, Comunicación, Ingeniería Comercial","0414, 0212, 0413","0414, 0212, 0413","0313, 0321, 0415","0313, 0321, 0415","A_t medio-alto: campañas automatizadas. R_h alto: estrategia creativa y branding. C_i muy alto: marketing automation y analytics. ISIA neutro-positivo: automatización de tácticas pero estrategia humana esencial."
Ingeniería en Finanzas,6,6,9,0.5,Transformación híbrida,"Economía, Ingeniería Comercial, Actuaría","Matemáticas, Estadística, Contador Auditor","0411, 0415, 0411","0411, 0415, 0411","0541, 0542, 0411","0541, 0542, 0411","A_t medio-alto: trading algorítmico. R_h medio-alto: estrategia de inversión. C_i muy alto: robo-advisors y análisis cuantitativo. ISIA neutro: automatización pero finanzas corporativas complejas."
Actuaría,6,6,9,-0.5,Transformación híbrida,"Estadística, Matemáticas, Ingeniería en Finanzas","Economía, Ingeniería Comercial, Data Science","0542, 0541, 0411","0542, 0541, 0411","0311, 0415, 0610","0311, 0415, 0610","A_t medio-alto: cálculos actuariales automatizables. R_h medio-alto: modelado de riesgos complejos. C_i muy alto: machine learning para riesgos. ISIA neutro-negativo: envejecimiento poblacional aumenta necesidad."
Comercio Internacional,6,6,8,1.5,Transformación híbrida,"Relaciones Internacionales, Logística, Administración","Derecho, Economía, Traducción","0416, 0312, 0413","0416, 0312, 0413","0421, 0311, 0231","0421, 0311, 0231","A_t medio-alto: documentación aduanera automatizable. R_h medio-alto: negociación intercultural. C_i muy alto: plataformas de comercio digital. ISIA positivo leve: automatización aduanera pero comercio global crece."
Gestión de Turismo,5,8,7,-1.5,Oportunidad controlada,"Hotelería, Administración, Gastronomía","Marketing, Geografía, Historia","1015, 0413, 1041","1015, 0413, 1041","0414, 0532, 0222","0414, 0532, 0222","A_t medio: reservas automatizables. R_h alto: experiencia personalizada y hospitalidad. C_i alto: plataformas de booking y CRM. ISIA negativo leve: turismo post-pandemia y experiencial en alza."
