Profesión,A_t,R_h,C_i,ISIA (5 años),Categoría de Impacto,Profesiones equivalentes (Núcleo),Profesiones equivalentes (Complementarias),SIES/CNED Núcleo,CINE-F Núcleo,SIES/CNED Complementarias,CINE-F Complementarias,Explicación de Valores
Química y Farmacia,6,6,8,-2.5,Oportunidad controlada,"Bioquímica, Tecnología Médica, Ingeniería Química","Medicina, Administración de Empresas",0910,0910,0910,0910,"A_t: 6 (Dispensación robotizada, pero asesoramiento al paciente y farmacovigilancia son clave). R_h: 6 (Conocimiento experto, comunicación con pacientes y médicos). C_i: 8 (IA para gestión de inventario, interacciones farmacológicas, descubrimiento de drogas). ISIA: -2.5 (Automatización de tareas logísticas, pero el rol de experto en medicamentos se fortalece)."
Bioquímica,7,6,8,-1.8,Transformación híbrida,"Química y Farmacia, Tecnología Médica, Biología","Ingeniería en Biotecnología, Estadística",0911,0911,0911,0911,"A_t: 7 (Análisis de laboratorio altamente automatizable). R_h: 6 (Investigación, interpretación de resultados complejos, pensamiento crítico). C_i: 8 (IA para análisis de datos masivos en investigación biológica y desarrollo). ISIA: -1.8 (La IA se integra profundamente en la investigación, el bioquímico se convierte en un gestor de sistemas automatizados)."
Biología Marina,5,7,7,-2.8,Oportunidad controlada,"Oceanografía, Geología, Agronomía","Ingeniería en Acuicultura, Derecho (ambiental)",0912,0912,0912,0912,"A_t: 5 (Monitoreo remoto y drones, pero trabajo de campo y análisis ecológico requieren humanos). R_h: 7 (Observación, síntesis ecológica, trabajo en entornos variables). C_i: 7 (IA para análisis de datos satelitales, modelado de ecosistemas). ISIA: -2.8 (La IA potencia la capacidad de análisis y monitoreo, creando nuevas áreas de estudio)."
Optometría,5,7,7,-3.2,Oportunidad controlada,"Medicina, Tecnología Médica, Diseño Óptico","Física, Ingeniería en Mecánica",0913,0913,0913,0913,"A_t: 5 (Exámenes automatizados, pero diagnóstico y prescripción requieren juicio clínico). R_h: 7 (Habilidades de comunicación, diagnóstico diferencial). C_i: 7 (IA para diagnóstico por imágenes de la retina, diseño de lentes personalizados). ISIA: -3.2 (La IA mejora el diagnóstico, el optometrista se enfoca en la interpretación y relación con el paciente)."
Medicina Veterinaria,3,8,7,-5.0,Expansión y crecimiento,"Medicina, Zootecnia, Agronomía","Biología, Ingeniería en Alimentos",0914,0914,0914,0914,"A_t: 3 (Diagnóstico por imagen asistido, pero cirugía y manejo de animales son prácticos). R_h: 8 (Manejo de animales, empatía con dueños, juicio clínico). C_i: 7 (IA para análisis de imágenes, epidemiología, gestión de granjas). ISIA: -5.0 (La IA es una herramienta de diagnóstico más, la práctica clínica y quirúrgica sigue siendo esencial)."
Ingeniería Civil,4,8,8,-4.5,Oportunidad controlada,"Ingeniería en Construcción, Ingeniería Industrial, Arquitectura","Geología, Derecho (urbanístico)",0710,0710,0710,0710,"A_t: 4 (Diseño asistido por computadora, pero gestión de proyectos y resolución de problemas in situ son humanos). R_h: 8 (Liderazgo, pensamiento crítico, gestión de equipos, creatividad en soluciones). C_i: 8 (IA para simulación de estructuras, optimización de diseños, gestión de proyectos). ISIA: -4.5 (La IA se convierte en un co-piloto esencial, el ingeniero se centra en la supervisión y la toma de decisiones estratégicas)."
Ingeniería Industrial,6,7,9,-2.0,Transformación híbrida,"Ingeniería Comercial, Administración de Empresas, Auditoría","Psicología, Estadística, Diseño Industrial",0714,0714,0714,0714,"A_t: 6 (Análisis de datos y optimización son automatizables). R_h: 7 (Liderazgo, comunicación, entendimiento del contexto organizacional). C_i: 9 (IA para logística, cadena de suministro, control de calidad, simulación de procesos). ISIA: -2.0 (La IA automatiza los cálculos, el ingeniero se enfoca en la implementación y la gestión del cambio organizacional)."
Ingeniería en Informática,5,8,9,-1.5,Transformación híbrida,"Ingeniería en Telecomunicaciones, Matemáticas, Física","Diseño Gráfico, Psicología (UX)",0610,0610,0610,0610,"A_t: 5 (La IA puede generar código simple, pero el diseño de arquitecturas y la resolución de problemas complejos son humanos). R_h: 8 (Pensamiento algorítmico, creatividad, resolución de problemas abstractos). C_i: 9 (La IA es la herramienta central para desarrollo, testing, y operaciones). ISIA: -1.5 (La IA es un acelerador de productividad, los ingenieros se dedican a tareas de mayor valor y complejidad)."
Ingeniería Comercial,5,7,8,-2.5,Oportunidad controlada,"Administración de Empresas, Economía, Ingeniería Industrial","Psicología, Sociología, Derecho",0413,0413,0413,0413,"A_t: 5 (Análisis de datos financieros y de mercado son automatizables). R_h: 7 (Negociación, liderazgo, estrategia, visión de negocio). C_i: 8 (IA para análisis de mercado, pronósticos económicos, gestión de riesgos). ISIA: -2.5 (La IA proporciona insights, el ingeniero comercial toma decisiones estratégicas y gestiona equipos)."
Ingeniería en Minas,5,7,8,-3.0,Oportunidad controlada,"Geología, Ingeniería Civil, Ingeniería en Prevención de Riesgos","Ingeniería Ambiental, Derecho (minero)",0712,0712,0712,0712,"A_t: 5 (Maquinaria autónoma, pero planificación y gestión de operaciones complejas son humanas). R_h: 7 (Toma de decisiones bajo incertidumbre, gestión de seguridad, liderazgo). C_i: 8 (IA para planificación de minas, optimización de procesos, predicción de fallas). ISIA: -3.0 (La IA permite una minería más segura y eficiente, el ingeniero se centra en la supervisión y optimización estratégica)."
Ingeniería Química,6,7,8,-2.2,Transformación híbrida,"Química, Bioquímica, Ingeniería en Alimentos","Ingeniería Ambiental, Ingeniería Industrial",0710,0710,0710,0710,"A_t: 6 (Control de procesos y simulaciones son altamente automatizables). R_h: 7 (Diseño de procesos, resolución de problemas, seguridad industrial). C_i: 8 (IA para modelado de reactores, optimización de procesos, desarrollo de nuevos materiales). ISIA: -2.2 (La IA es un partner en el diseño y control, el ingeniero se enfoca en la innovación y la seguridad)."
Ingeniería en Electricidad,5,7,8,-2.8,Oportunidad controlada,"Ingeniería en Mecánica, Ingeniería en Telecomunicaciones, Física","Ingeniería Civil, Ingeniería en Prevención de Riesgos",0710,0710,0710,0710,"A_t: 5 (Diseño de circuitos y sistemas de control son asistidos por IA). R_h: 7 (Diseño de sistemas complejos, resolución de fallas, trabajo de campo). C_i: 8 (IA para gestión de redes inteligentes, mantenimiento predictivo, optimización energética). ISIA: -2.8 (La IA optimiza la distribución y el mantenimiento, el ingeniero se centra en el diseño y la gestión de sistemas)."
Ingeniería en Mecánica,5,7,8,-2.5,Oportunidad controlada,"Ingeniería en Electricidad, Ingeniería Industrial, Diseño Industrial","Física, Ingeniería en Materiales",0710,0710,0710,0710,"A_t: 5 (Diseño CAD/CAM y simulaciones son dominios de la IA). R_h: 7 (Diseño creativo, resolución de problemas mecánicos, prototipado). C_i: 8 (IA para diseño generativo, mantenimiento predictivo, impresión 3D). ISIA: -2.5 (La IA sugiere diseños óptimos, el ingeniero evalúa, mejora e implementa)."
Ingeniería en Construcción,5,7,7,-2.8,Oportunidad controlada,"Ingeniería Civil, Arquitectura, Ingeniería en Prevención de Riesgos","Geología, Administración de Empresas",0710,0710,0710,0710,"A_t: 5 (Robots en obra, pero gestión, coordinación y solución de imprevistos son humanos). R_h: 7 (Liderazgo en obra, gestión de equipos, resolución de problemas prácticos). C_i: 7 (IA para planificación de obras, gestión de seguridad, control de avance). ISIA: -2.8 (La IA ayuda en la logística y planificación, el ingeniero gestiona la ejecución y los imprevistos)."
Ingeniería en Alimentos,5,7,8,-2.5,Oportunidad controlada,"Química y Farmacia, Nutrición y Dietética, Agronomía","Ingeniería Química, Marketing",0710,0710,0710,0710,"A_t: 5 (Control de calidad y procesos son automatizables). R_h: 7 (Desarrollo de nuevos productos, seguridad alimentaria, innovación). C_i: 8 (IA para optimización de procesos, desarrollo de sabores, trazabilidad). ISIA: -2.5 (La IA optimiza la producción, el ingeniero se enfoca en la innovación y la calidad)."
Ingeniería en Telecomunicaciones,5,7,9,-1.8,Transformación híbrida,"Ingeniería en Informática, Ingeniería en Electricidad, Física","Matemáticas, Derecho (regulatorio)",0612,0612,0612,0612,"A_t: 5 (Gestión de redes puede ser automatizada). R_h: 7 (Diseño de infraestructura, seguridad de redes, planificación estratégica). C_i: 9 (IA para gestión autónoma de redes, optimización del espectro, ciberseguridad). ISIA: -1.8 (La IA es el núcleo de las redes modernas, el ingeniero las diseña, supervisa y asegura)."
Ingeniería en Biotecnología,5,7,8,-2.8,Oportunidad controlada,"Bioquímica, Biología, Ingeniería Química","Medicina, Ingeniería en Ambiental",0710,0710,0710,0710,"A_t: 5 (Procesos de laboratorio son automatizables). R_h: 7 (Investigación, diseño experimental, pensamiento interdisciplinario). C_i: 8 (IA para análisis genómico, diseño de fármacos, modelado de sistemas biológicos). ISIA: -2.8 (La IA acelera la investigación, el ingeniero diseña y escala los procesos)."
Ingeniería en Materiales,5,7,8,-2.5,Oportunidad controlada,"Ingeniería Química, Física, Química","Ingeniería Mecánica, Diseño Industrial",0710,0710,0710,0710,"A_t: 5 (Simulación y descubrimiento de materiales pueden ser asistidos por IA). R_h: 7 (Diseño de experimentos, síntesis, aplicación práctica). C_i: 8 (IA para descubrimiento y diseño de nuevos materiales, predicción de propiedades). ISIA: -2.5 (La IA sugiere composiciones, el ingeniero valida y aplica los materiales)."
Ingeniería en Ambiental,5,7,8,-2.8,Oportunidad controlada,"Ingeniería Química, Geología, Biología","Derecho (ambiental), Sociología",0710,0710,0710,0710,"A_t: 5 (Monitoreo ambiental y modelado son dominios de la IA). R_h: 7 (Evaluación de impacto, diseño de soluciones sostenibles, trabajo comunitario). C_i: 8 (IA para modelado de contaminación, gestión de residuos, optimización de recursos). ISIA: -2.8 (La IA proporciona datos y modelos, el ingeniero diseña e implementa soluciones)."
Ingeniería en Prevención de Riesgos,4,7,7,-3.5,Oportunidad controlada,"Ingeniería Civil, Ingeniería en Construcción, Medicina","Psicología, Derecho (laboral)",0710,0710,0710,0710,"A_t: 4 (Sensores y monitoreo automatizado, pero inspección y cultura organizacional son humanas). R_h: 7 (Observación, comunicación, capacidad de influencia, análisis de contexto). C_i: 7 (IA para análisis de datos de accidentes, monitoreo en tiempo real de condiciones peligrosas). ISIA: -3.5 (La IA potencia la capacidad de predicción, el ingeniero se enfoca en la prevención activa y la gestión cultural)."
Derecho,5,8,7,-3.2,Oportunidad controlada,"Ciencia Política, Relaciones Internacionales, Administración Pública","Psicología, Periodismo, Filosofía",0421,0421,0421,0421,"A_t: 5 (Análisis documental y búsqueda de jurisprudencia son automatizables). R_h: 8 (Argumentación, negociación, empatía con el cliente, oratoria). C_i: 7 (IA para análisis de contratos, descubrimiento de documentos, predicción de fallos). ISIA: -3.2 (La IA automatiza tareas de documentación, el abogado se centra en la estrategia, la negociación y el juicio)."
Trabajo Social,3,9,5,-5.5,Expansión y crecimiento,"Psicología, Sociología, Orientación Educacional","Derecho, Antropología, Educación Diferencial",0923,0923,0923,0923,"A_t: 3 (Gestión de casos puede ser asistida, pero la intervención directa es humana). R_h: 9 (Empatía, mediación, comprensión de contextos sociales, paciencia). C_i: 5 (IA para análisis de datos sociales, gestión de casos, identificación de poblaciones vulnerables). ISIA: -5.5 (La IA no puede reemplazar la relación de ayuda y el trabajo de campo, su rol es de apoyo administrativo)."
Sociología,4,8,6,-3.8,Oportunidad controlada,"Antropología, Ciencia Política, Psicología","Estadística, Historia, Filosofía",0314,0314,0314,0314,"A_t: 4 (Análisis de datos cuantitativos es automatizable). R_h: 8 (Pensamiento crítico, interpretación cualitativa, teorización). C_i: 6 (IA para análisis de grandes volúmenes de datos sociales, tendencias). ISIA: -3.8 (La IA proporciona datos, el sociólogo los interpreta y contextualiza)."
Antropología,3,8,5,-4.5,Oportunidad controlada,"Sociología, Arqueología, Historia","Psicología, Filosofía, Geografía",0322,0322,0322,0322,"A_t: 3 (Análisis de artefactos o textos puede ser asistido). R_h: 8 (Observación participante, empatía cultural, interpretación). C_i: 5 (IA para análisis de datos etnográficos, traducción de lenguas). ISIA: -4.5 (El trabajo de campo y la interpretación cultural son profundamente humanos, la IA es una herramienta de apoyo)."
Ciencia Política,4,8,6,-3.5,Oportunidad controlada,"Sociología, Relaciones Internacionales, Derecho","Historia, Economía, Periodismo",0312,0312,0312,0312,"A_t: 4 (Análisis de datos electorales y de opinión pública es automatizable). R_h: 8 (Análisis estratégico, teoría política, redacción de discursos). C_i: 6 (IA para modelado de escenarios políticos, análisis de sentimiento en redes). ISIA: -3.5 (La IA ofrece insights cuantitativos, el científico político aporta el marco teórico y cualitativo)."
Relaciones Internacionales,4,8,6,-3.5,Oportunidad controlada,"Ciencia Política, Derecho, Administración Pública","Historia, Economía, Sociología",0312,0312,0312,0312,"A_t: 4 (Análisis de datos geopolíticos es automatizable). R_h: 8 (Negociación, diplomacia, comprensión intercultural). C_i: 6 (IA para análisis de riesgo país, tendencias globales). ISIA: -3.5 (La IA es una herramienta de análisis, la negociación y la estrategia son humanas)."
Periodismo,6,7,7,-1.5,Transformación híbrida,"Comunicación Audiovisual, Publicidad, Cine","Sociología, Ciencia Política, Historia",0321,0321,0321,0321,"A_t: 6 (Redacción de noticias basadas en datos es automatizable). R_h: 7 (Investigación profunda, entrevistas, storytelling, ética). C_i: 7 (IA para análisis de datos, generación de borradores, verificación de hechos). ISIA: -1.5 (La IA automatiza noticias simples, el periodista se dedica al reportaje de investigación y análisis)."
Psicopedagogía,3,8,6,-4.8,Oportunidad controlada,"Pedagogía en Educación Diferencial, Psicología, Fonoaudiología","Trabajo Social, Orientación Educacional",0914,0914,0914,0914,"A_t: 3 (Plataformas de aprendizaje adaptativo, pero diagnóstico e intervención son personalizados). R_h: 8 (Empatía, diagnóstico educativo, diseño de estrategias individuales). C_i: 6 (IA para diagnóstico de dificultades de aprendizaje, recursos educativos personalizados). ISIA: -4.8 (La IA es un apoyo, la relación terapéutica y la adaptación a cada niño son centrales)."
Filosofía,2,9,4,-6.0,Expansión y crecimiento,"Historia, Lingüística, Literatura","Psicología, Sociología, Ciencia Política",0223,0223,0223,0223,"A_t: 2 (Análisis de textos básico, pero el pensamiento abstracto y crítico es humano). R_h: 9 (Pensamiento crítico, lógica, ética, argumentación). C_i: 4 (IA para análisis de textos filosóficos, gestión de información). ISIA: -6.0 (La IA no puede emular el pensamiento filosófico profundo. Su valor en ética de IA y pensamiento crítico crece)."
Historia,3,8,5,-4.2,Oportunidad controlada,"Arqueología, Geografía, Filosofía","Antropología, Ciencia Política, Periodismo",0222,0222,0222,0222,"A_t: 3 (Análisis de documentos y datos históricos puede ser asistido). R_h: 8 (Interpretación, síntesis, narrativa, contextualización). C_i: 5 (IA para análisis de textos históricos, datación, gestión de archivos digitales). ISIA: -4.2 (La IA ayuda a encontrar patrones, el historiador los interpreta y da sentido)."
Geografía,4,7,7,-3.2,Oportunidad controlada,"Geología, Biología, Historia","Sociología, Ingeniería en Ambiental",0532,0532,0532,0532,"A_t: 4 (Análisis de imágenes satelitales y SIG son altamente automatizables). R_h: 7 (Síntesis espacial, trabajo de campo, planificación territorial). C_i: 7 (IA para análisis de cambios de uso de suelo, modelado climático, planificación urbana). ISIA: -3.2 (La IA proporciona los datos espaciales, el geógrafo los interpreta para la toma de decisiones)."
Arqueología,4,7,6,-3.5,Oportunidad controlada,"Antropología, Historia, Geología","Biología, Química",0322,0322,0322,0322,"A_t: 4 (Análisis de imágenes aéreas y LIDAR, pero excavación e interpretación son humanas). R_h: 7 (Paciencia, observación, interpretación contextual, trabajo manual). C_i: 6 (IA para análisis de patrones espaciales en yacimientos, datación). ISIA: -3.5 (La IA ayuda a localizar sitios, la excavación y la interpretación cultural son humanas)."
Bibliotecología,7,5,8,2.5,Alta reconversión,"Traducción e Interpretación, Lingüística, Historia","Ingeniería en Informática, Comunicación Audiovisual",0321,0321,0321,0321,"A_t: 7 (Clasificación, catalogación y recuperación de información son altamente automatizables). R_h: 5 (Servicio al usuario, curación de contenidos, preservación digital). C_i: 8 (IA para gestión de metadatos, búsqueda semántica, digitalización). ISIA: 2.5 (Las tareas técnicas se automatizan, el rol debe reconvertirse hacia la gestión de comunidades de información y servicios especializados)."
Traducción e Interpretación,7,6,7,3.5,Alta reconversión,"Lingüística, Bibliotecología, Periodismo","Relaciones Internacionales, Derecho",0230,0230,0230,0230,"A_t: 7 (Traducción automática de textos generales es muy buena). R_h: 6 (Traducción de matices, interpretación simultánea, contextos culturales). C_i: 7 (IA como herramienta de traducción asistida, gestión de glosarios). ISIA: 3.5 (La IA reemplaza traducciones simples, el traductor se especializa en textos complejos, creativos y en la interpretación)."
Lingüística,4,8,6,-3.8,Oportunidad controlada,"Traducción e Interpretación, Filosofía, Psicología","Ingeniería en Informática (Procesamiento de Lenguaje Natural)",0230,0230,0230,0230,"A_t: 4 (Análisis gramatical básico puede ser automatizado). R_h: 8 (Teoría lingüística, análisis del discurso, comprensión del lenguaje en contexto). C_i: 6 (IA para modelado de lenguaje, desarrollo de asistentes virtuales). ISIA: -3.8 (La IA necesita de lingüistas para su desarrollo, creando demanda en el sector tecnológico)."
Pedagogía en Educación Básica,3,9,6,-5.0,Expansión y crecimiento,"Pedagogía en Educación Media, Psicopedagogía, Educación Diferencial","Psicología, Trabajo Social, Arte",0911,0911,0911,0911,"A_t: 3 (Plataformas educativas, pero la gestión del aula y la motivación son humanas). R_h: 9 (Empatía, paciencia, creatividad, liderazgo de grupo). C_i: 6 (IA para personalización del aprendizaje, herramientas educativas, evaluación). ISIA: -5.0 (La IA es una herramienta que libera tiempo para la interacción humana y la pedagogía diferenciada)."
Pedagogía en Educación Media,3,9,6,-5.0,Expansión y crecimiento,"Pedagogía en Educación Básica, la disciplina específica (Historia, Matemáticas, etc.)","Psicología, Orientación Educacional",0911,0911,0911,0911,"A_t: 3 (Similar a Educación Básica, las tareas relacionales y de motivación son clave). R_h: 9 (Especialización en la materia, manejo de grupo, mentoría). C_i: 6 (IA para recursos educativos específicos, evaluación adaptativa). ISIA: -5.0 (La IA apoya la enseñanza, pero el profesor como guía y experto es insustituible)."
Pedagogía en Educación Parvularia,2,9,5,-5.8,Expansión y crecimiento,"Educación Diferencial, Psicopedagogía, Terapia Ocupacional","Psicología, Música, Danza",0911,0911,0911,0911,"A_t: 2 (Cuidado y desarrollo emocional y social son puramente humanos). R_h: 9 (Apego, juego, estimulación temprana, creatividad). C_i: 5 (IA para seguimiento del desarrollo, recursos lúdicos). ISIA: -5.8 (La IA no puede reemplazar el vínculo afectivo y la guía en la primera infancia)."
Pedagogía en Inglés,4,8,7,-3.8,Oportunidad controlada,"Traducción e Interpretación, Lingüística","Psicología, Pedagogía en Educación Media",0911,0911,0911,0911,"A_t: 4 (Apps de aprendizaje de idiomas, pero la práctica conversacional y la corrección fina son humanas). R_h: 8 (Motivación, corrección de pronunciación, inmersión cultural). C_i: 7 (IA para herramientas de práctica, evaluación automática, contenido multimedia). ISIA: -3.8 (La IA complementa el aprendizaje, el profesor se centra en la interacción y la fluidez)."
Pedagogía en Historia y Geografía,3,8,6,-4.5,Oportunidad controlada,"Historia, Geografía, Ciencia Política","Sociología, Periodismo",0911,0911,0911,0911,"A_t: 3 (Contenidos están online, pero la contextualización y el debate en clase son humanos). R_h: 8 (Storytelling, pensamiento crítico, debate). C_i: 6 (IA para recursos históricos inmersivos, mapas interactivos). ISIA: -4.5 (La IA proporciona recursos, el profesor guía la interpretación y el análisis)."
Pedagogía en Matemáticas,4,8,7,-3.5,Oportunidad controlada,"Matemáticas, Estadística, Pedagogía en Ciencias","Física, Ingeniería",0911,0911,0911,0911,"A_t: 4 (Resolución de problemas algorítmicos puede ser automatizada). R_h: 8 (Enseñanza de conceptos abstractos, resolución de problemas creativa, motivación). C_i: 7 (IA para ejercicios adaptativos, tutorías inteligentes, visualización). ISIA: -3.5 (La IA resuelve problemas, el profesor enseña el "porqué" y fomenta el pensamiento lógico)."
Pedagogía en Ciencias Naturales,4,8,7,-3.8,Oportunidad controlada,"Biología, Química, Física","Geología, Pedagogía en Matemáticas",0911,0911,0911,0911,"A_t: 4 (Simulaciones y datos están disponibles, pero la experimentación y la curiosidad se fomentan humanamente). R_h: 8 (Fomento de la curiosidad, metodología científica, experimentación). C_i: 7 (IA para simulaciones de laboratorio, realidad aumentada, análisis de datos). ISIA: -3.8 (La IA ofrece herramientas de simulación, el profesor guía el descubrimiento científico)."
Pedagogía en Artes Visuales,2,9,5,-5.5,Expansión y crecimiento,"Arte, Diseño Gráfico, Publicidad","Psicología, Historia del Arte",0911,0911,0911,0911,"A_t: 2 (La creación artística y la crítica son inherentemente humanas). R_h: 9 (Creatividad, expresión, crítica de arte, inspiración). C_i: 5 (IA para herramientas digitales, historia del arte). ISIA: -5.5 (La IA puede generar imágenes, pero no puede enseñar el proceso creativo, la expresión personal y la sensibilidad artística)."
Pedagogía en Música,2,9,5,-5.5,Expansión y crecimiento,"Música, Danza, Teatro","Psicología, Pedagogía en Artes",0911,0911,0911,0911,"A_t: 2 (La interpretación musical y la dirección son profundamente humanas). R_h: 9 (Expresión emocional, oído musical, técnica, dirección de ensembles). C_i: 5 (IA para herramientas de composición, afinación). ISIA: -5.5 (La IA no puede reemplazar la conexión emocional de la enseñanza y ejecución musical)."
Educación Diferencial,2,9,5,-6.0,Expansión y crecimiento,"Psicopedagogía, Terapia Ocupacional, Fonoaudiología","Trabajo Social, Psicología",0914,0914,0914,0914,"A_t: 2 (La adaptación curricular y el apoyo individualizado son intensivos en interacción humana). R_h: 9 (Paciencia, adaptabilidad, empatía, creatividad pedagógica). C_i: 5 (IA para recursos educativos adaptados, comunicación aumentativa). ISIA: -6.0 (La IA es una ayuda, pero la relación personalizada y el diagnóstico educativo especializado son irreemplazables)."
Orientación Educacional,3,9,5,-5.2,Expansión y crecimiento,"Psicología, Trabajo Social, Pedagogía","Sociología, Administración de Recursos Humanos",0914,0914,0914,0914,"A_t: 3 (Tests vocacionales online, pero la consejería y guía son humanas). R_h: 9 (Escucha activa, empatía, consejo vocacional, mediación). C_i: 5 (IA para análisis de perfiles vocacionales, información de carreras). ISIA: -5.2 (La IA proporciona datos, el orientador proporciona sabiduría y apoyo emocional)."
Contador Auditor,7,6,8,2.8,Alta reconversión,"Auditoría, Ingeniería Comercial, Administración de Empresas","Derecho, Ingeniería en Finanzas",0412,0412,0412,0412,"A_t: 7 (Contabilización, cálculo de impuestos y auditoría de transacciones son altamente automatizables). R_h: 6 (Juicio profesional, consultoría, relación con clientes, ética). C_i: 8 (IA para procesamiento de facturas, detección de fraudes, reporting financiero). ISIA: 2.8 (Las tareas de compliance y registro se automatizan, el contador debe evolucionar hacia roles de consultoría y análisis estratégico)."
