

Categoría,Clasificación general de la profesión,Número,Profesión,Empleabilidad al 1° Año,Sueldo Promedio 4° Año,Sector,A_t_scaled,R_h_scaled,C_i_scaled,ISIA_new,Categoría de Riesgo_new,Demanda Anual Actual,Demanda Anual Proyectada en 5 años con adopción de IA,Oferta Actual,Recomendación de Estudio,Cambios Curriculares IA,Tendencia de Empleo (5 años),Nivel de Digitalización Actual,Adaptabilidad a IA (A_i),Requerimiento de Reentrenamiento (%),Satisfacción Laboral Promedio,Nivel de Educación Requerido,Duración Promedio de la Carrera (años),Edad Promedio de Ingreso Laboral,Brecha de Género Laboral (%),Remuneración IA-Optimizada (Proyección),Remuneración con Desplazamiento por IA (Proyección),Probabilidad de Sustitución por IA (%),Índice de Creatividad Requerida,Índice de Interacción Humana,IA como Complemento (%),IA como Sustituto (%),Tasa de Innovación del Sector,Demanda Global Estimada (5 años),Nivel de Regulación/Ética Relevante,Índice de Estabilidad Laboral,Empleabilidad en 5 años,Empleabilidad en 10 años,Empleabilidad en 15 años,Demanda Anual en 5 años,Demanda Anual en 10 años,Demanda Anual en 15 años,Sueldo Promedio 4° Año en 5 años,Sueldo Promedio 4° Año en 10 años,Sueldo Promedio 4° Año en 15 años
Universitaria,Urbanismo,11,Arquitecto,75,1700000,Urbanismo,5.5,7.5,8.5,0.2,Transformación híbrida,1800,1900,1700,Recomendado,Diseño asistido por IA y modelado 3D avanzado,Estable,7.5,6.0,35,75,Universitaria,6,25,30,1750000,1700000,30,8.0,7.0,70,30,7.0,Media,7.0,7.0,85,80,75,1900,2000,2100,1750000,1800000,1850000
Universitaria,Mineria,12,Ingeniero en Minas,80,2800000,Mineria,6.0,6.5,8.0,-0.8,Transformación híbrida,800,750,850,Recomendado,Gestión de operaciones automatizadas y análisis de datos,Estable,7.0,6.0,35,80,Universitaria,6,25,40,2850000,2700000,35,6.5,6.0,65,35,7.0,Alta,8.0,7.5,85,80,75,750,700,650,2850000,2900000,2950000
Universitaria,Comunicaciones,13,Periodista,65,1200000,Comunicaciones,7.5,7.0,7.5,-2.0,Alta reconversión,2200,1500,2400,Con precaución,Especialización en periodismo de datos e investigación,Disminución,8.0,4.0,60,65,Universitaria,5,24,45,1100000,900000,65,7.5,7.5,50,50,8.0,Media,7.5,6.5,55,45,35,1500,1200,1000,1100000,1150000,1200000
Técnica,Administración,14,Técnico en Administración,75,800000,Administración,8.5,5.0,5.5,-3.0,Riesgo crítico,6000,4000,6500,Con precaución,Enfoque en gestión de procesos digitales,Disminución,7.0,3.5,70,60,Técnica,2,21,50,750000,600000,75,5.0,5.0,30,70,6.5,Media,6.0,6.0,60,45,30,4000,3500,3000,750000,780000,800000
Universitaria,Medioambiente,15,Ingeniero Ambiental,85,1900000,Medioambiente,5.0,7.5,8.2,1.5,Oportunidad controlada,1200,1500,1100,Recomendado,Modelado ambiental con IA y análisis de datos,Aumento,7.0,7.0,25,80,Universitaria,6,24,20,2000000,2150000,20,7.5,7.0,80,20,8.0,Alta,7.5,8.0,95,90,85,1500,1800,2100,2000000,2200000,2400000
Universitaria,Salud,16,Nutricionista,80,1300000,Salud,4.0,8.0,7.5,1.2,Oportunidad controlada,2000,2300,1800,Recomendado,Integración de análisis nutricional asistido por IA,Aumento,6.5,6.5,20,85,Universitaria,5,24,15,1350000,1500000,15,7.0,8.5,85,15,6.5,Media,7.0,8.0,90,85,80,2300,2600,2900,1350000,1450000,1550000
Técnica,Tecnología,17,Técnico en Electrónica,80,1000000,Tecnología,6.5,6.0,6.5,-1.5,Alta reconversión,3500,2800,3800,Con precaución,Especialización en sistemas automatizados y robótica,Disminución,7.5,5.0,55,70,Técnica,3,22,45,950000,800000,60,6.0,5.5,45,55,8.0,Alta,6.5,6.5,65,55,45,2800,2500,2200,950000,1000000,1050000
Universitaria,Negocios,18,Ingeniero Comercial,80,1800000,Negocios,7.0,6.5,7.5,-1.0,Transformación híbrida,3000,2700,3200,Recomendado,Análisis de mercado y estrategias con IA,Estable,8.0,6.0,35,75,Universitaria,5,24,30,1850000,1750000,40,6.5,6.0,65,35,7.5,Alta,7.0,7.0,85,80,75,2700,2600,2500,1850000,1900000,1950000
Universitaria,Salud,19,Kinesiólogo,85,1400000,Salud,3.0,8.5,7.2,2.0,Oportunidad controlada,2500,2800,2300,Recomendado,Terapias asistidas por tecnología y monitoreo con IA,Aumento,6.0,6.5,20,85,Universitaria,5,24,10,1500000,1650000,15,7.0,9.0,85,15,6.0,Media,7.0,8.0,90,88,85,2800,3100,3400,1500000,1600000,1700000
Emergente,Tecnología,20,Data Scientist,95,2500000,Tecnología,4.0,7.0,9.5,3.5,Expansión y crecimiento,800,1500,700,Altamente recomendado,Desarrollo de modelos predictivos y machine learning,Aumento,9.5,9.5,5,90,Universitaria/Posgrado,6,26,25,2800000,3200000,10,9.0,6.5,90,10,9.5,Alta,8.0,8.5,98,95,92,1500,2200,3000,2800000,3200000,3600000
Emergente,Seguridad,21,Especialista en Ciberseguridad,95,2600000,Seguridad,3.5,7.5,9.0,3.2,Expansión y crecimiento,500,1000,450,Altamente recomendado,Seguridad de sistemas IA y protección de datos,Aumento,9.0,9.0,10,85,Universitaria/Posgrado,6,25,30,2900000,3300000,10,8.5,6.0,90,10,9.0,Alta,9.0,9.0,98,96,94,1000,1600,2300,2900000,3400000,3900000
Emergente,Tecnología,22,Desarrollador de Realidad Virtual/Aumentada,90,2200000,Tecnología,4.5,6.5,8.8,2.8,Expansión y crecimiento,300,700,250,Altamente recomendado,Desarrollo de experiencias inmersivas con IA,Aumento,9.0,8.5,15,80,Universitaria/Posgrado,5,25,35,2400000,2800000,15,8.5,5.5,85,15,9.0,Alta,7.5,8.0,95,92,90,700,1200,1800,2400000,2800000,3200000
Emergente,Energía,23,Ingeniero en Energías Renovables,90,2100000,Energía,5.0,7.0,8.5,2.5,Expansión y crecimiento,600,1000,550,Altamente recomendado,Gestión inteligente de redes energéticas con IA,Aumento,8.0,8.0,20,80,Universitaria,6,24,25,2300000,2600000,20,7.5,6.5,85,15,8.5,Alta,8.0,8.5,95,92,90,1000,1500,2000,2300000,2600000,2900000
Emergente,Biotech,24,Especialista en Bioinformática,95,2700000,Biotech,3.0,7.0,9.5,3.8,Expansión y crecimiento,200,500,180,Altamente recomendado,Análisis genómico y desarrollo farmacéutico con IA,Aumento,8.5,9.0,10,85,Universitaria/Posgrado,7,26,30,3000000,3500000,10,9.0,5.5,90,10,9.5,Alta,9.0,9.0,98,96,94,500,900,1400,3000000,3500000,4000000
Emergente,Medioambiente,25,Consultor de Sostenibilidad,85,1900000,Medioambiente,4.5,8.0,8.2,2.2,Oportunidad controlada,400,700,350,Recomendado,Herramientas de análisis de impacto ambiental con IA,Aumento,7.5,8.0,25,80,Universitaria/Posgrado,6,26,20,2100000,2400000,20,8.0,8.0,85,15,8.0,Alta,8.5,8.5,95,92,90,700,1100,1500,2100000,2400000,2700000
Emergente,Tecnología,26,Especialista en Ética de IA,90,2300000,Tecnología,2.0,9.0,9.0,3.5,Expansión y crecimiento,150,400,120,Altamente recomendado,Desarrollo de marcos éticos para sistemas de IA,Aumento,8.0,9.5,5,90,Universitaria/Posgrado,7,27,35,2600000,3000000,5,9.5,9.5,95,5,8.5,Alta,9.5,9.5,98,96,94,400,800,1300,2600000,3000000,3400000
Emergente,Tecnología,27,Ingeniero de Robótica Avanzada,95,2800000,Tecnología,3.5,6.5,9.2,3.0,Expansión y crecimiento,250,600,200,Altamente recomendado,Diseño de sistemas robóticos autónomos con IA,Aumento,9.0,8.0,15,85,Universitaria/Posgrado,7,26,40,3100000,3500000,15,8.5,5.0,85,15,9.5,Alta,8.0,8.0,98,96,94,600,1100,1700,3100000,3500000,3900000
Emergente,Marketing,28,Analista de Comportamiento del Consumidor,85,1800000,Marketing,5.0,6.5,8.0,1.8,Oportunidad controlada,600,900,550,Recomendado,Herramientas de análisis predictivo con IA,Aumento,8.5,7.5,20,75,Universitaria/Posgrado,5,25,30,2000000,2200000,25,7.5,6.0,80,20,8.0,Alta,7.0,7.5,90,85,80,900,1300,1700,2000000,2200000,2400000
Emergente,Agricultura,29,Especialista en Agricultura de Precisión,80,1700000,Agricultura,4.5,7.0,8.0,2.0,Oportunidad controlada,350,600,300,Recomendado,Gestión de cultivos con drones e IA,Aumento,8.0,7.5,25,75,Universitaria/Posgrado,5,25,40,1850000,2100000,25,7.0,6.0,85,15,8.5,Alta,7.5,8.0,90,85,80,600,900,1200,1850000,2100000,2350000
Emergente,Diseño,30,Diseñador de Experiencias de Usuario (UX),90,1900000,Diseño,4.0,7.5,8.5,2.2,Expansión y crecimiento,800,1300,700,Altamente recomendado,Diseño de interfaces inteligentes con IA,Aumento,8.5,8.0,15,80,Universitaria/Posgrado,4,24,35,2100000,2400000,20,8.5,7.5,85,15,8.5,Alta,7.0,7.5,95,92,90,1300,1900,2500,2100000,2400000,2700000
